كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الرابع الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد العشرية | يفهم القيمة المكانية للأعداد العشرية | يربط بين التمثيل العشري والكسري | يربط بين التمثيل العشري والكسري بدقة، ويحول بينهما بصورة صحيحة | يربط بين التمثيل العشري والكسري في معظم الحالات، إلا أنه يحتاج إلى دعم محدود عند التحويلمنالعشريإلىالكسري | يخلط بين التحويل من عشري إلى كسري والعكس ويعتمد على التخمين بدل القاعدة | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | المقارنة بين الكسور (العادية والعشرية) والتقدير العددي | يقارن بين الكسور ويرتبها | يقارن بين كسرين (عاديين،عشريين) باستخدام الرموز المناسبة (>،<،=) | يقارنبينكسرينعاديين بأكثرمنطريقة(مقاممشتركنموذج / خطأعداد)ويختارالأنسبللتبرير | يقارنباستخدامالمقامالمشتركلكنهلايستطيعتوظيفخطالأعدادللتحقق | يقارن اعتماداً على التخمين أو مقارنة الأعداد بشكل منفصل، ويستخدم رموز المقارنة بصورة غير صحيحة أو غير ثابتة. | التفكير المنطقي والدقة والموضوعية ، اتخاذ القرار السليم، والتنظيم،حب الاستكشاف، المثابرة
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | المقارنة بين الكسور (العادية والعشرية) والتقدير العددي | يقارن بين الكسور ويرتبها | يقارن بين كسرين (عشريين) باستخدام الرموز المناسبة (>،<،=) | يقارن بين كسرين عشريين بمقارنة الأجزاء الصحيحة ثم الأجزاء العشرية، ويستخدم الرموز المناسبة>)، <، = )بدقة. | يقارن بين كسرين عشريين بمقارنة الأجزاء الصحيحة والأجزاء العشرية في معظم المواقف، مع بعض الأخطاء عنما يحتوي الكسر العشري اصفارا في منزلة جزء من مئة. | يقارن الكسور العشرية وكانها اعداد صحيحة بغض النظر عن وجود الفاصلة العشرية. | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | المقارنة بين الكسور (العادية والعشرية) والتقدير العددي | يقارن بين الكسور ويرتبها | يرتب مجموعة كسور(عادية ،عشرية) تصاعدياً وتنازلياً | يرتب مجموعة من الكسور العادية والعشرية تصاعديا وتنازليا بدقة، مستخدما استراتيجيات مناسبة للمقارنة بينها | يرتب معظم الكسور العادية والعشرية تصاعديا وتنازليا بصورة صحيحة، إلا أنه يخطىء عند مقارنة الكسور المختلفة التمثيل أو القيم المتقاربة. | يحاول ترتيب الكسور العادية والعشرية تصاعديا وتنازليا، لكنه يواجه صعوبة في المقارنة بينها وتحديد ترتيبها الصحيح | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | المقارنة بين الكسور (العادية والعشرية) والتقدير العددي | يقارن بين الكسور ويرتبها | يقارن بين عددين كسريين ويرتب الاعداد الكسرية تصاعديا او تنازليا | يقارن بين عددين كسريين ويرتب الأعداد الكسرية تصاعديا أو تنازليا بدقة. | ينجز مقارنة الأعداد الكسرية والا انه يخفق في ترتيب اكثر من عددين. | من الممكن ان يتعرف إلى الأكبر والأصغر بين بعض الأعداد الكسرية المألوفة ويحتاج إلى دعم لترتيبها بصورة صحيحة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | المقارنة بين الكسور (العادية والعشرية) والتقدير العددي | يقارن بين الكسور ويرتبها | يحدد الكسور المكافئة | ينتجثلاثةكسورمكافئةلكسرمعطىبطريقتيالضربوالقسمةويتحققمنتكافؤهابالتبسيط | ينتجكسرينمكافئينبالضربلكنه يجد صعوبة في كتابتها بأبسط صورة |  | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | التمثيل الرياضي | يقارن الأعداد العشرية ويرتبها | يقارن بين الأعداد العشرية | يقارن بين عددين عشريين بمقارنة منزلة منزلة من العدد الصحيح إلى الجزء العشريويختار الرمز الصحيح مبرراً اختياره | يقارن بدقة حين تكون الأعداد بنفس عدد المنازل العشرية لكنه يرتبك حين تختلف المنازل | يقارن بالنظر إلى عدد الأرقام فيعتبر العدد الأطول أكبر بصرف النظر عن قيمة منازله | الدقة والترتيب، والتنظيم التفكير المنطقي،اتخاذ القرار السليم،حب الاستطلاع، المثابرة
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | التمثيل الرياضي | يقارن الأعداد العشرية ويرتبها | يرتب الأعداد العشرية | يرتبخمسةأعدادعشريةذاتمنازلمختلفةتصاعدياًوتنازلياًبتفسيرمنهجي | يرتبثلاثةأعدادعشريةبصوابحينتكونبنفسعددالمنازلفقط | يرتب الأعداد العشرية بشكل جزئي ويخطئ عند اختلاف عدد المنازل | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | التمثيل الرياضي | يقارن الأعداد العشرية ويرتبها | يقدر قيمة الأعداد العشرية | يقربلأيمنزلةمطلوبةمطبقا القاعدةومحدداًنوعالمنزلةفيكلحالة | يقربلأقربصحيحوعشربصوابلكنهيخطئفيتحديداتجاهالتقريبلأجزاءالمئة | يقدر الأعداد العشرية بشكل عشوائي دون ربطها بقواعد التقريب | 
الاعداد والعمليات عليها/ الكسور | ممارسة استخدام الأدوات بذكاء | التمثيل الرياضي | يمثل الكسور بطرائق متعددة | يمثل الكسور باستخدام النماذج البصرية | يرسمالشكل الهندسيمقسماًإلىأجزاءمتساويةتماماً مظللاًالجزءالصحيح | يرسمالشكل الهندسيمقسماًتقريبياًلكنالأجزاءغيرمتساوية ،ويحتاج دعما من المعلم | يرسم نموذجاً لا يعكس عدد الأجزاء المطلوبة أو يظلل أجزاء لا تتوافق مع الكسر المعطى. | الدقة والنظام ،تذوق جمال التقسيم المنظم،التفكير البصري المكاني، اتخاذ القرار السليم، تنظيم العمل،تحمل المسؤولية، حب التعلم العملي، الثقة بالنفس
الاعداد والعمليات عليها/ الكسور | ممارسة استخدام الأدوات بذكاء | التمثيل الرياضي | يمثل الكسور بطرائق متعددة | يمثل الكسور على خط الأعداد | يقسمالمسافةبينعددين صحيحينبدقةويضعالكسرفيموضعهالصحيحمبيناًطريقةالتقسيم | يضعالكسرعلىخطالأعدادلكنهلايقسمالمسافةبالتساوي | يضع الكسر بشكل عشوائي أو يخلط بين موقع البسط والمقام عند تحديد مكان الكسر على الخط. | 
الاعداد والعمليات عليها/ الكسور | ممارسة استخدام الأدوات بذكاء | التمثيل الرياضي | يمثل الكسور بطرائق متعددة | يربط بين التمثيل الرمزي والبصري للكسر | يحولالكسرمنرمزهإلىرسمهوالعكسويفسركلتحويلبجملةتشرحالعلاقة | يحولمنالرسمإلىاالرمزبدقةلكنهيصعبعليهتمثيل الكسر بالرسم | يتعرف إلى الكسر في أحد التمثيلين فقط ولا يستطيع الربط بين الرمز والرسم أو التحويل بينهما. | 
الاعداد والعمليات عليها/ الكسور | ممارسة استخدام الأدوات بذكاء | التمثيل الرياضي | يمثل الكسور بطرائق متعددة | يستخدم خط الأعداد في المقارنة بين الكسور | يُعينكسرينأوأكثرعلىخطالأعدادذاتهويستنتجترتيبهامباشرةًمنموقعهاعلىالخط | يضعالكسرينعلىخطالأعدادلكنهلا يستنتجترتيبهامباشرةًمنموقعهاعلىالخط | لا يستطيع تمثيل الكسور على الخط بصورة صحيحة أو استنتاج العلاقة بينها من مواقعها. | 
الاعداد والعمليات عليها/ الكسور | ممارسة استخدام الأدوات بذكاء | التمثيل الرياضي | يمثل الكسور بطرائق متعددة | يستخدم النماذج لتفسير التكافؤ | يرسمنموذجينمختلفينللكسرينالمتكافئينويشرحسببتساويهمارغماختلافأرقامهما | يرسمنموذجاًلكلكسرلكنهلايشرحسببتساويالمساحةالمظللةرغماختلافالأجزاء | يركز على اختلاف الأرقام في البسط والمقام ويستنتج أن الكسور غير متكافئة رغم تمثيلها للمقدار نفسه. | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات بين الكسور | يفهم العلاقات بين الكسور | يكتشف العلاقة بين الكسور المكافئة | يلاحظأنضربالبسطوالمقامبالعددذاته/او قسمتهما عليهيبقيعلى قيمةالكسرويعممذلككقاعدة | يلاحظالتكافؤفيالأمثلةالمعطاةلكنهلايصيغقاعدةعامةيطبقهاعلىأمثلةجديدة | لا يلاحظ العلاقة بين الكسور المكافئة ويعدّها كسوراً مختلفة تماماً. | حب الاستطلاع والتفكير الاستدلالي،التنظيم والترتيب والدقة، المثابرة،الثقة بالنفس،تعزيز المواطنة الصالحة وتحمل المسؤولية، تذوق الجمال الرياضي
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات بين الكسور | يفهم العلاقات بين الكسور | يحدد العلاقة بين الجزء والكل | يعبرعنالجزءكنسبةمنالكلويوضحكيفيؤثرتغييرالجزءأوالكلفيقيمةالكسر | يحددالجزءوالكلفيالأمثلةالملموسةلكنهيرتبكحينيكونالكلمجموعةمنالعناصر |  | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات بين الكسور | يفهم العلاقات بين الكسور | يكتشف العلاقة بين الكسور والأعداد الطبيعية | يشرحأنالكسورتحددمواقعبينالأعدادالطبيعيةعلىخطالأعدادويمثلذلك | يعرفأن 1=2/2 و1=4/4 لكنهلايستطيعتفسيرلماذاتكونبعضالكسورأكبرمن 1 | ينظر إلى الكسور كرموز منفصلة ولا يدرك موقعها بالنسبة للأعداد الطبيعية أو إمكانية أن تكون أكبر من الواحد. | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الكسرية | يبني العلاقات الكسرية | يكتشف الأنماط في الكسور المتكافئة (بالضرب) | يلاحظأنضربحديالكسربنفسالعددينتجسلسلةلانهائيةمنالكسورالمتكافئةويوظفذلك | يكتشفالنمطفيسلسلتينأوثلاث من خلال الضربلكنهلايتنبأبالحدالتاليفيالسلسلة، ويصعب عليه استنتاج الكسور المكافئة بالقسمة على عدد معين | لا يلاحظ النمط في تكوين الكسور المكافئة ويحتاج إلى أمثلة موجهة ومتكررة. | التفكير الاستدلالي، الدقة،حب الاستكشاف والاستطلاع، التأمل والمثابرة
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الكسرية | يبني العلاقات الكسرية | يكتشف الأنماط في الكسور المتكافئة (بالقسمة) | يلاحظأن قسمةحديالكسرعلىالعدد نفسه(عامل من عوامل البسط والمقام)ينتجالعديد منالكسورالمتكافئةويوظفذلك في اكتشاف النمط | يكتشف بعض أنماط الكسور المتكافئة باستخدام القسمة، ويحتاج إلى دعم في إكمال النمط بشكل صحيح | لا يلاحظ النمط في تكوين الكسور المكافئة ويحتاج إلى أمثلة موجهة ومتكررة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الكسرية | يبني العلاقات الكسرية | يطبق قاعدة التكافؤ على كسور جديدة | ينتجكسراًمكافئاًلأيكسرمعطىبالضربأوالقسمةويتحققمنهبالتبسيط | ينتجالكسرالمكافئبالضرببدقةلكنهيطور اداءهفيالتحققمنهبالتبسيطالمناسب | يحاول تطبيق القاعدة لكنه يغير البسط أو المقام فقط، مما يؤدي إلى كسور غير مكافئة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الكسرية | يبني العلاقات الكسرية | يفسر العلاقات الكسرية باستخدام أمثلة | يقدممثالاًمنالحياةاليوميةيعكسالعلاقةالكسريةويشرحكيفيمثلهاالكسر ( تقسيم فطيرة معجنات،.... | يذكرمثالاًحياتياًمألوفاًبيتزامقسومة دونتعميمهعلىسياقاتأخرى | يجد صعوبة في تقديم مثال من الحياة اليومية يعبر عن الكسر أو يربط المثال بالمفهوم الرياضي بصورة غير دقيقة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات العشرية | يفهم العلاقات بين الكسور العشرية والأعداد العشرية | يحدد الكسور العشرية المكافئة | ينتجكسوراًمكافئةبمقامات 10 و100 ويوضحالعلاقةبينهاعلىخطالأعداد | ينتج كسورا مكافئة بمقامات 10بدقةلكنهيخطئحينينتقلإلىمقام100 | يحفظ أمثلة محددة دون القدرة على اشتقاق أي مكافئ جديد | التأمل وحب الاستطلاع، التفكير الاستدلالي،الدقة والتنظيم والترتيب، الثقة بالنفس، المثابرة
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات العشرية | يفهم العلاقات بين الكسور العشرية والأعداد العشرية | يكتشف العلاقة بين الأعشار والأجزاء من مئة | يكتشف العلاقة بين الأعشار والأجزاء من مئة بدقة، ويمثلها ويحول بينهما بشكل صحيح | يكتشف العلاقة بين الأعشار والأجزاء من مئة في معظم الحالات، إلا أنه يحتاج إلى دعم في التمثيل أو التحويل بينهما | يلاحظ علاقة الأعشار فقط دون فهم انتقالها إلى أجزاء المئة | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات العشرية | يفهم العلاقات بين الكسور العشرية والأعداد العشرية | يربط بين القيمة المنزلية والبنية العشرية | يكتبالصيغةالموسعةللعددالعشريمحدداًكسركلمنزلة((3/10 + 5/100 | يكتبالصيغةالموسعةللجزءالصحيحبدقةلكنهيهملالجزءالعشريأويكتبهكعددصحيح | يكتب الصيغة الموسعة للأعداد الطبيعية فقط ولا يُطبقها على الأعداد العشرية | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يحلل الأنماط العشرية | يكتشف الأنماط في الأعداد العشرية | يكتشف الأنماط في الأعداد العشرية بدقة، ويستنتج القاعدة العامة ويستخدمها لاستكمال السلاسل العددية بصورة صحيحة | يلاحظالتحركيكتشف معظم الأنماط في الأعداد العشرية، إلا أنه يحتاج إلى دعم في استنتاج القاعدة أو إكمال بعض السلاسل العددية | يحاول اكتشاف الأنماط في الأعداد العشرية، لكنه يواجه صعوبة في تحديد القاعدة أو إكمال السلاسل العددية بشكل صحيح | التفكير التحليلي، الدقة والتنظيم والترتيب، حب الاستكشاف،الوعي البيئي، المحافظة على الموارد الطبيعية
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يحلل الأنماط العشرية | يفسر العلاقات بين المنازل العشرية | يفسر علاقة القيمة المنزلية العشرية شارحاأنكلمنزلةتساوي عشرالمنزلةالتييسارهاوعشرةأمثالالمنزلةالتييمينها | يفسر العلاقات بين بعض المنازل العشرية الحالات البسيطة، إلا أنه يحتاج إلى دعم في توضيح العلاقة بين جميع المنازل العشرية بدقة | يعرف أسماء المنازل لكن لا يدرك العلاقة بينها أصلاً | 
الاعداد والعمليات عليها/ الكسور | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يحلل الأنماط العشرية | يستخدم البنية العشرية لتبسيط حل العمليات الحسابية (جمع وطرح، مقارنة) | يفككالعددالعشريإلىمكوناتهالمنزليةويجريالعملية الحسابية المطلوبة (جمع أو طرح)منزلةمنزلةلتسهيلالحساب | يفككالعددالعشريإلىمكوناتهالمنزليةويطور اداءه في اجراءالعملية الحسابية المطلوبة (جمع أو طرح)منزلةمنزلةلتسهيلالحساب | لا يستطيع تفكيك العدد العشرية لمكوناته المنزلية لانه لا يعرف العلاقة بين المنازل | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | استخدام الرموز الرياضية بدقة | يوظف اللغة الرياضية | يستخدم الفاصلة العشرية بصورة صحيحة | يضعالفاصلةفيالموضعالصحيحفيكلحالةويشرحسببموقعهابالاستنادإلىالمنزلة | يضعالفاصلةبدقةفيالأمثلةالمألوفةلكنهيُخطئحينيقومبتحويلالكسر العادي إلىعشري | يضع الفاصلة العشرية بشكل غير ثابت ويخطئ عند التحويل بين الصيغ | التفكير المنطقي، الدقة والتنظيم، حب النظام ، المثابرة، تقدير جمال اللغة الرياضية،الاعتزاز بالوطن وتراثه وعلمائه
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | استخدام الرموز الرياضية بدقة | يوظف اللغة الرياضية | يكتب الأعداد العشرية بصيغة صحيحة | يكتبالعددبالصيغتين(مختصرة و موسعة )دونأخطاءفيالقيمةأوتجاهلأصفارضروريةمثل 0.07 | يكتبالصيغة المختصرةبدقةلكنهيهملالأصفارالضروريةفيالصيغةالموسعة | يكتب الأعداد العشرية مع أخطاء في الأصفار أو ترتيب المنازل | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | استخدام الرموز الرياضية بدقة | يوظف اللغة الرياضية | يستخدم الرموز الرياضية للمقارنة بصورة دقيقة | يوظف(><= )بدقةمقروناًبتفسيرسببالعلاقةمنخلالمقارنةالمنازل | يختارالرمزالصحيحلكنهلايفسرسبباختيارهبالاستنادإلىالقيمةالمنزلية | يختار الرمز بناء على الشكل لا على القيمة الفعلية | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | استخدام الرموز الرياضية بدقة |  | يوظف المرونة الفكرية في المواقف | يصدر حكما على صحة الحل عند إيجاد كسرين مكافئين لنفس الكسر ويبرر حكمه بالاستناد إلى تتبع خطوات الحل. | يحدد صحة الحل في معظم الحالات ويقدم مبررات جزئية مستندة إلى بعض خطوات الحل. | تعرف إلى بعض خطوات الحل لكنه لا يستطيع اصدار حكم على الحل | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | تنظيم الحل الرياضي | ينظم خطوات الحل | ينظم خطوات الحل (المقارنة أو الجمع والطرح) للكسور والاعداد العشرية | ينظم خطوات الحل في المقارنة:ترتيبالمنازل←مقارنةمنزلةمنزلة←الحكم / الجمع والطرح: ترتيب المنازل بدقة ثم اجراء الجمع او الطرح | ينظم خطوات الحل (جمع، طرح، مقارنة) لكنهيكتبالحكمالنهائيفقطدونتوثيقأو توضيح لخطوات الحل | يحاول تنظيم خطوات الحل في مسائل المقارنة والجمع والطرح، لكنه يواجه صعوبة في ترتيب الخطوات أو ربطها بشكل صحيح | التفكير المنطقي،التأمل والدقة والتنظيم،حب النظام وتحمل المسؤولية، الثقة بالنفس
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | تنظيم الحل الرياضي | ينظم خطوات الحل | يتحقق من معقولية النتائج | يقربالأعدادالعشريةويقدرالناتجمسبقاًثميُقارنهبالحلالفعلي | يتحققبإعادةالعمليةذاتهادونتوظيفتقديرمسبقللحكمعلىالمعقولية | يقبل الناتج كما هو دون أي مراجعة | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | تنظيم الحل الرياضي | ينظم خطوات الحل | يجمع ويطرح الكسور العادية ( كسرين او ثلاثة) ويستخدم خاصية التجميع. | يجمع ويطرح كسرين أو ثلاثة كسور عادية بدقة مستخدمًا خاصية التجميع لتسهيل الحل. | جمع ويطرح كسرين أو ثلاثة كسور عادية مستخدما خاصية التجميع مع بعض الأخطاء البسيطة. | يحاول جمع وطرح كسرين أو ثلاثة كسور عادية وتوظيف خاصية التجميع بمساعدة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | تنظيم الحل الرياضي | ينظم خطوات الحل | يتحقق من صحة الحل | يتحقق من صحة ناتج الجمع والطرح باستخدام العلاقة العكسية بين العمليتين (التحقق من الطرح بالجمع والجمع بالطرح) بدقة. | يتحقق من صحة ناتج الجمع والطرح باستخدام العلاقة العكسية بين العمليتين مع بعض الأخطاء البسيطة. | يحاول التحقق من صحة ناتج الجمع والطرح باستخدام العلاقة العكسية بين العمليتين ويحتاج إلى دعم كامل لإكمال ذلك بصورة صحيحة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | تنظيم الحل الرياضي | ينظم خطوات الحل | يجمع ويطرح عددين كسريين | يجمع ويطرح عددين كسريين بدقة ويوظف الإجراءات المناسبة للحل. | يطبق خطوات جمع وطرح عددين كسريين ويصل إلى الحل الصحيح في المواقف المألوفة. | يتعرف إلى خطوات جمع وطرح عددين كسريين ويطبق بعضها بمساندة. | 
الاعداد والعمليات عليها/ الكسور | ممارسة الدقة الرياضية | تنظيم الحل الرياضي | ينظم خطوات الحل | يفسر الحل بلغة رياضية واضحة | يشرحكيفأثرتقيمةمنزلةبعينهاعلىالناتجالنهائيبلغةرياضيةدقيقة | يصفالخطواتبالترتيبلكنهيستخدملغةعاميةبدلاًمنمصطلح 'المنزلة' أو 'القيمةالمكانية' | يكتب الناتج فقط دون أي تفسير أو توضيح لمسار الحل | 
[TABLE 3]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | استخدام أدوات القياس | يوظف أدوات القياس المناسبة | يختار أداة القياس المناسبة | يختارالأداةالأنسب مبررااختيارهبالدقةالمطلوبةوطبيعةالشيءالمقاس | يختارالأداةالصحيحةلكنهلايبرراختيارهأويستخدممسطرةلقياسأطوالكبيرة | يستخدمأيأداةمتاحةبصرفالنظرعنملاءمتهالحجمأونوعالشيءالمقاس | التفكير البصري المكاني،التعاون مع الآخرين واحترام الآخرين، الدقة والتنظيم والاتقان، حب التعلم العملي،تحمل المسؤولية،احترام دقة العمل
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | استخدام أدوات القياس | يوظف أدوات القياس المناسبة | يقيس الأطوال باستخدام وحدات مناسبة | يقيس الأطوال باستخدام وحدات قياس مناسبة بدقة، مختاراً الوحدة الصحيحة وفقًا لطبيعة الطول المراد قياسه | يقيس الأطوال باستخدام وحدات قياس مناسبة في معظم الحالات، إلا أنه يحتاج إلى دعم في اختيار الوحدة المناسبة | يحاول قياس الأطوال باستخدام وحدات قياس مناسبة، لكنه يواجه صعوبة في اختيار الوحدة الصحيحة أو استخدام أدوات القياس بدقة | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | استخدام أدوات القياس | يوظف أدوات القياس المناسبة | يستخدم أدوات القياس بدقة | يستخدمأدواتالقياسبدقة(محاذاةالصفر / قراءةالتدريجات) / يحاذي نقطة الصفر بدقة ويقرأ التدريج | يحاذينقطةالصفربدقة لكنه يقرأ القيمة الأقرب بدلاً من التدريج الدقيقة | يحاذي طرف الأداة لا نقطة الصفر بالجسم المقاس مما يسبب خطأً ثابتاً في كل قراءة | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | التمثيل الهندسي | يمثل الأشكال والعلاقات الهندسية | يرسم الأشكال الهندسية الأساسية | يرسمالمضلعاتالأساسيةباستخدامالمسطرةمعضمانتساويالأضلاعالمطلوبة | يرسم أشكالاً غير منتظمة أو غير دقيقة الأضلاع ولا يلتزم بالأدوات. | يرسم الأشكال دون أدوات وتأتي الأضلاع غير مستقيمة والزوايا غير دقيقة | تذوّق الجمال والتناسق والنظام والترتيب والدقة في الأشكال الهندسية والتأمّل في إبداع الخالق، الاعتزاز بالوطن وتراثه ، التعاون والعمل بروح الفريق، تعزيز المواطنة الصالحة، احترام الموارد المتاحة، تحمل المسؤولية
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | التمثيل الهندسي | يمثل الأشكال والعلاقات الهندسية | يتعرف خواص المربع والمستطيل (الأضلاع، الزوايا، الأقطار، محاور التماثل). | يصنفالأشكالالهندسيةبحسبعددالأضلاعوالزواياوالتماثل | يصنفالأشكالفيمجموعاتبحسبمعيارين(عددالأضلاع والزوايا )ويخطئ في تحديد التماثل | يصنفالأشكالبحسبمعيارواحد(عددالأضلاع)دونمراعاةالخصائصالإضافية | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | التمثيل الهندسي | يمثل الأشكال والعلاقات الهندسية | يستخدم التمثيلات الهندسية لتوضيح العلاقات بين الخطوط المتوازية والمتعامدة | يرسمخطوطاًمتوازيةومتعامدةبالأدوات مثبتاًالعلاقةبقياسالزواياأوالمسافات | يرسمالتوازيوالتعامدتقريبياًلكنهلايستخدمالمنقلةأوالمربعللتحققمنالدقة | لا يفرق بين التوازي والتعامد ولا يستطيع رسمهما | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | التمثيل الهندسي | يمثل الأشكال والعلاقات الهندسية | يتعرف ويحدد نوع الزاوية (حادة، قائمة، منفرجة، المستقيمة) موظفاً المنقلة في قياسها | يتعرف أنواع الزوايا وقياسها ويحددها ضمن أشكال هندسية مميزا بينها، وموظفاً المنقلة في قياسها . | يتعرف أنواع الزوايا وقياسها مطوراً أداؤه في تحديدها ضمن أشكال هندسية معطاة وفي القياس. | يمكن أن يتعرف بعض أنواع الزوايا لكن لا يستطيع أن يحددها ضمن أشكال هندسية معطاة | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | التمثيل الهندسي | يمثل الأشكال والعلاقات الهندسية | يستخدم المنقلة لقياس الزوايا | يستخدم المنقلة لقياس الزوايا بدقة من خلال تحديد مركز المنقلة وخط الأساس وقراءة التدريج بدقة | يستخدم المنقلة لقياس الزوايا في معظم المواقف، مع بعض الأخطاء في محاذاة المنقلة أو اختيار التدريج المناسب | حاول استخدام المنقلة لقياس الزوايا، لكنه يحتاج إلى دعم في تحديد مركز المنقلة أو قراءة القياس بصورة صحيحة. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | التمثيل الهندسي | يمثل الأشكال والعلاقات الهندسية | يميز المثلث ويستكشف العلاقة بين زواياه الداخلية. | يميز المثلث بدقة مستكشفاً العلاقة بين زواياه الداخلية، ومستنتجاً أن مجموعها يساوي 180 | يميز المثلث بصورة صحيحة مدركاً وجود علاقة بين زواياه الداخلية، لكنه يحتاج إلى دعم لاستنتاج مجموعها بدقة أو تفسير العلاقة بشكل كامل. | يتعرف المثلث بمساعدة، مواجهاً صعوبة في تحديد العلاقة بين زواياه الداخلية أو تفسيرها. | 
الهندسة والقياس | ممارسة النمذجة الرياضية | انشاء نموذج رياضي يمثل موقفا واقعيا | يوظف المفاهيم الهندسية في مواقف حياتية | يربط الأشكال الهندسية بأشياء من البيئة | يربط الأشكال الهندسية (المربع، المستطيل، المثلث، الدائرة) بأشياء من البيئة بدقة، ويعطي أمثلة متنوعة وصحيحة لكل شكل. | يربط معظم الأشكال الهندسية بأشياء من البيئة بشكل صحيح، إلا أنه يحتاج إلى دعم في بعض الأشكال أو في تنويع الأمثلة. | يحاول ربط الأشكال الهندسية بأشياء من البيئة، لكنه يواجه صعوبة في تمييز بعض الأشكال أو إيجاد أمثلة مناسبة لها. | التفكير الابداعي،التعاون واحترام الآخرين،تقدير النظام والترتيب والدقة، المحافظة على البيئة ومواردها،تعزيز المواطنة الصالحة،الوعي البيئي،حب الاستطلاع
