كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الرابع الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | المقارنة والتقدير العددي | يوظف التقدير للتحقق من المعقولية | يقارن بين الناتج الفعلي والتقديري للحكم على المعقولية | يحسبالفرقبينالناتجين(الفعلي والتقديري) في عمليتي الجمع والطرح مصدرا حكمابوضوحعلىمعقوليةالناتج | يلاحظالفرقبينالناتجين في عمليتي الجمع والطرحموضحاً المعقوليةإذاكانالفرقصغيراً | يقبلأيناتجماداممننفسعددالأرقامدونحسابالفرقأوالحكمعليه | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | البحث عن البنية الرياضية | يبني قواعد وأنماط عددية للأعداد ضمن الملايين | يكمل أنماطاً عددية متنوعة لأعداد ضمن الملايين. ويطبق قاعدة النمط لتوليد اعداد اخرى | يكمل الأنماط العددية المتنوعة ضمن الملايين بدقة، مطبقا قاعدة النمط بصورة صحيحة لتوليد أعداد أخرى مبررا إجاباته | يكمل الأنماط البسيطة ذات العملية الواحدة، إلا أنه يخطئ في إكمال الأنماط المركبة (اكثر من عملية حسابية) وتوليد أعداد جديدة منها | يكملالحدالتاليمباشرةفقط بالتخمين أو الصدفةولايستطيع كتابة أي حد آخر بعده | التأمل، حب الاستطلاع والبحث، التفكيرالاستدلالي، المثابرة، الثقة بالنفس، التعاون،الدقة والتنظيم،
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | البحث عن البنية الرياضية | يبني قواعد وأنماط عددية للأعداد ضمن الملايين | يستقرئ الأنماط العددية لأعداد ضمن الملايين | يصفالنمط العددي ضمن الملايين معبراعنهبقاعدةرياضيةبلغتهالخاصة | يكتشف بعض الأنماط العددية ضمن الملايين في الحالات المباشرة، محتاجا إلى دعم لتحديد قاعدة النمط وتعميمها بدقة | يبدي محاولات للتعرف إلى الأنماط العددية ضمن الملايين، إلا أنه لا يستطيع تحديد قاعدة النمط | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم العمليات على الأعداد الكبيرة | يفهم معنى الجمع والطرح ضمن الملايين | يفسر معنى الجمع بوصفه ضماً للكميات | يمثلالجمعبنموذجينمختلفين(خطالأعدادوالمحسوسات)مفسراً معناه | يوظفنموذجاًواحداً للتمثيلالأعداد ضمن الملايين مفسرامعنىالجمعشفويا | يجريعمليةالجمعبشكلصحيحلكنهلايستطيعوصفمعناها | الاعتزاز بالوطن وتراثه وعلمائه، التعاون مع الآخرين ، العمل الجماعي واحترام الآخرين، صداقة البيئة والمحافظة عليها،تحمل المسؤولية، حب التحدي، التفكير المنطقي، الدقة والمرونة
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم العمليات على الأعداد الكبيرة | يفهم معنى الجمع والطرح ضمن الملايين | يفسر معنى الطرح بوصفه فرقاً أو إزالة | يفسر معنى الطرح بدقة في الحالتين (الفرق والإزالة)، ويحدد الموقف المناسب لكل معنى مستخدمًا أمثلة أو تمثيلات متنوعة. |  | يواجه صعوبة في تفسير معنى الطرح بوصفه فرقا أو إزالة، أو يخلط بين المعنيين ويحتاج إلى توجيه مستمر. | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم العمليات على الأعداد الكبيرة | يفهم معنى الجمع والطرح ضمن الملايين | يربط بين الجمع والطرح كعمليتين متعاكستين | يوظف العلاقة بين الجمع والطرح للتحقق من صحة حله. | يستخدمالطرحللتحققمنالجمع كإجراء روتيني دون فهم للمعنى الرياضي لذلك. | يعرفالعلاقةبينهمانظرياًلكنهلايوظفهاعملياًفيالتحقق | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | التقدير والتحقق من المعقولية | يقدر ويتحقق من معقولية حله في العمليات الحسابية | يقدر ناتج الطرح قبل الحل | يقربالمطروحوالمطروحمنهللمنزلةالملائمة متنبأبمدىالناتجقبلالحل | يقدّرالناتجبتقريبطرفواحدفقطويتركالطرفالآخردونتقريب، وقد يوظف التقريب بعد إجراء عملية الطرح | يخطئ في تقدير الناتجدون استخدامالتقريب، أو أي إجراء آخر يوضح الحل. | التروّي والتنظيم، التفكير الناقد، الدقة والترتيب، اتخاذ القرار السليم، الثقة بالنفس والمثابرة، تحمل المسؤولية
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | التقدير والتحقق من المعقولية | يقدر ويتحقق من معقولية حله في العمليات الحسابية | يقارن بين الناتج التقديري والفعلي للتحقق من المعقولية | يحسبالفرقبينالناتجين مبرراقبولهأورفضهبمعيارنسبيواضح | يلاحظالفرقبينالناتجينموضحاً المعقوليةإذاكانالفرقصغيراً | يقبلأيناتجماداممننفسعددالأرقامدونحسابالفرقأوالحكمعليه | 
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات العددية | يفهم العلاقات بين الضرب والقسمة | يربط بين الضرب والقسمة كعمليتين متعاكستين | يبنيعائلةالحقائقالأربعلأيثلاثةأعداد مفسراًلماذاتتحققكلمنهامن الأخرى | يبنيعائلةالحقائقالأربعبشكلصحيحلكنهلايشرحالعلاقةالعكسيةبينهما | يعرفأنالضربوالقسمةمرتبطانلكنهيكتبحقيقتيالضربفقطدونإكمالحقيقتيالقسمة | التفكير الاستدلالي، التفكير الناقد،حب الاستطلاع،الثقة بالنفس، المرونة،الأمانة العلمية، المثابرة، التعاون، الدقة
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية |  |  | يتعرف مفهوم مضاعفات العدد | يجد مضاعفات الأعداد بالضرب، أو وفق شروط معينة (مضاعف زوجي، مضاعف آحاده صفر، مضاعف يقسم على 3..). | يجد مضاعفات الأعداد بالضرب ويطور أداؤه في إيجادها ضمن شروط معينة | يجد مضاعفات الأعداد 2،5 فقط بالعد القفزي | 
