كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الأول الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | يحاول | القيم
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | تفسير بنية الأعداد | يكون أعداد بالصورة المختصرة (رمزية) | يكون أعداد ضمن 99 بالصورة المختصرة. | يكوّن العدد ضمن منزلتين بناءً على المعطيات المباشرة (مثل: 4 آحاد و6 عشرات تُعطي 64) أو غير المباشرة مثل (كتابة رمز العدد من صورته الموسعة). | يكوّن العدد ضمن منزلتين بناءً على صورته الموسعة أو المعطيات المباشرة لكنه يقلب الترتيب أحياناً فيكتب (46 بدلاً من 64) عندما تبدأ العبارة المعطاة بالعشرات قبل الآحاد. | يحاول تكوين العدد ضمن منزلتين ويحاول الربط بين مكونات الآحاد والعشرات لتشكيل عددا صحيحا ويساعده وجود نموذجا محلولا على ذلك. | يحاول تكوين العدد ضمن منزلتين ويحاول الربط بين مكونات الآحاد والعشرات لتشكيل عددا صحيحا ويساعده وجود نموذجا محلولا على ذلك. | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | توظيف الحس العددي | يوظف الحس العددي للكميات | يوظف فهم بنية العدد بإعطاء قيمة عددية لكمية معينة. | يوظف فهمه للعدد في إعطاء قيمة عددية قريبة تصف كمية معينة من البيئة. | يوظف فهمه للعدد في إعطاء قيمة عددية قريبة تصف كمية معينة من البيئة مع وجود بدائل ويصعب عليه ذلك دون بدائل. | يعطي قيم عشوائية وغير قريبة لكمية من البيئة. | يعطي قيم عشوائية وغير قريبة لكمية من البيئة. | المسؤولية في اتخاذ القرار، حب الاستكشاف، التنظيم الذهني، التقدير الواقعي للكميات،المرونة في التفكير
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | توظيف الحس العددي | يقارن التقدير بالقيمة الفعلية | يقارن التقدير العددي المتوقع مع القيمة الفعلية. | يقارن بشكل مستقل بين توقعه المبني على حسه العددي لقيمة ما والعدد الفعلي للكمية، مستوعباً مدى منطقية وقرب توقعه من الواقع لتوظيف المقارنة في اتخاذ القرار في المواقف الحياتية التي تتطلب ذلك. | يقارن بين القيمة التي توقعها لكمية من البيئة من خلال بدائل معطاة والعدد الفعلي للكمية. / ويجد صعوبة في توظيف ذلك في اتخاذ القرار في المواقف الحياتية التي تتطلب ذلك. | يقارن بذكرقيم عشوائية لكمية معينة وقد يؤثر على المقارنة مع القيمة الفعلية لهذه الكمية، ويؤثر ذلك بالتالي على اتخاذ القرار في المواقف الحياتية التي تتطلب ذلك. | يقارن بذكرقيم عشوائية لكمية معينة وقد يؤثر على المقارنة مع القيمة الفعلية لهذه الكمية، ويؤثر ذلك بالتالي على اتخاذ القرار في المواقف الحياتية التي تتطلب ذلك. | 
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | تحليل بنية الأعداد /  ( مكوناتها) | يحلل الأعداد الى مكوناتها بالمحسوسات | يحلل الأعداد ضمن 20 الى مكوناتها بالمحسوسات( عيدان، اجسام حسابية،....). | يحلل الأعداد ضمن 10 بتقسيم مجموعة من المحسوسات (مثلاً 5 مكعبات) إلى مجموعتين فرعيتين (3 و2) بشكل صحيح وسريع دون مساعدة، ويذكر المكونات لفظياً. | يحلل الأعداد ضمن 10 وينجح في تقسيم المحسوسات بعد محاولتين أو عند توجيهه، ويستغرق بعض الوقت. | يجد صعوبة في تقسيم المجموعة، أو يكتفي بالعد الترتيبي دون القدرة على فصلها إلى جزأين يعبران عن مكونات العدد. | يجد صعوبة في تقسيم المجموعة، أو يكتفي بالعد الترتيبي دون القدرة على فصلها إلى جزأين يعبران عن مكونات العدد. | المثابرة والصبر والتفكير المنظَّم في حل المشكلات واتخاذ القرار، حب الاستكشاف، الصبر والمثابرة، تحمل المسؤولية
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | تحليل بنية الأعداد /  ( مكوناتها) | يحلل الأعداد الى مكوناتها باستخدام الرسوم والصور (شبه المحسوس) | يحلل الأعداد ضمن 20 الى مكوناتها بالرسوم. | يحلل الأعداد ضمن 10 ويربط الرسم بالرمز بسلاسة؛ (مثل: 6 بالونات ملونة بلونين، فيكتب مباشرة المكونين (4 و2) في المربعات المخصصة لها) بمفرده. | يحلل الأعداد ضمن 10 يستطيع تحديد مكونات العدد من خلال الصور إذا كانت مقسمة جاهزة (بخط فاصل مثلاً)، ولكنه يتردد إذا طُلب منه تلوين أو تقسيم الرسم بنفسه. | يعد جميع العناصر في الصورة كعدد إجمالي، ولا يستخرج المجموعات الجزئية (المكونات) من خلال الرسم. | يعد جميع العناصر في الصورة كعدد إجمالي، ولا يستخرج المجموعات الجزئية (المكونات) من خلال الرسم. | 
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | تحليل بنية الأعداد /  ( مكوناتها) | يحلل الأعداد الى مكوناتها بصورة تجريدية( رمزية) | يحلل الأعداد ضمن 20 الى مكوناتها بصورة تجريدية( رمزية). | يحلل الأعداد ضمن 10 الى مكوناتها بكتابة مكونات العدد (مثلاً العدد 7 هو 5 + 2 أو 6 + 1) غيبياً وبشكل صحيح، ويستطيع إيجاد المكون الناقص بمرونة وبمفرده. | يحلل الأعداد ضمن 10 الى مكوناتها بكتابة بعض مكونات الأعداد الصغيرة (حتى 5)، ولكنه يحتاج إلى استخدام أصابع يده كدعامة للوصول إلى مكونات الأعداد الأكبر (من 6 إلى 9). | يحلل الأعداد ضمن 10 الى مكوناتها بكتابة أرقاماً عشوائية لا تشكل المجموع الصحيح للعدد المطلوب (مثلاً يكتب مكونات العدد 4 هي 3 و 2). | يحلل الأعداد ضمن 10 الى مكوناتها بكتابة أرقاماً عشوائية لا تشكل المجموع الصحيح للعدد المطلوب (مثلاً يكتب مكونات العدد 4 هي 3 و 2). | 
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط العددية | يستكمل الأنماط العددية | يستكمل نمط عددي تصاعدياً أو تنازلياً. | يستكمل الحدود الناقصة في النمط العددي بعد اكتشافه (سواء تصاعدياً أو تنازلياً أو بقفزات مختلفة) وبشكل صحيح مفسرا ًاجابته. | يستكمل الأنماط السهلة (كالعد اثنينات أو خمسات)، ولكنه يتردد في الأنماط التنازلية أو القفزات غير المألوفة. | يحتاج لمساعدة متكررة لاستكمال النمط، ويضع أعداداً غير متسلسلة. | يحتاج لمساعدة متكررة لاستكمال النمط، ويضع أعداداً غير متسلسلة. | 
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط العددية | يصف الأنماط العددية | يصف نمط عددي. | يصف لفظياً وكتابياً النمط بدقة وبأسلوبه الخاص (مثل: "النمط ينقص في كل مرة بمقدار 5، أو نعد تنازلي خمسات، أو...). | يصف لفظياً النمط الذي يتمكن من حله بعبارات عامة كأن يقول أن النمط يتزايد أو يتناقص، ولكنه يحتاج الى توجيه في صياغة وصفا رياضياً دقيقا. | يحتاج لنموذج محلول لمحاكاته وحله ولكن دون فهم الاجراء الرياضي في النمط. / لا يستطيع شرح أو وصف النمط. | يحتاج لنموذج محلول لمحاكاته وحله ولكن دون فهم الاجراء الرياضي في النمط. / لا يستطيع شرح أو وصف النمط. | حب الاستطلاع والتفكير الاستدلالي ،التأمل، حب الاستكشاف،الصبر والمثابرة، الدقة والانتباه
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط العددية | إنشاء أنماط جديدة | انشاء أنماط عددية جديدة. | يبتكر ويصمم نمطاً عددياً خاصاً به، ويعبر لفظياً وكتابياً عن النمط بدقة وبأسلوبه الخاص بشكل مستقل ومبدع. | ينشئ نمطاً جديداً، ولكنه يكرر الأنماط التقليدية التي حفظها (مثل 5، 10، 15،..) أو (10، 20، 30،..) أو يخطئ في الحفاظ على ثبات القفزة بمنتصف النمط. | يحتاج لنقل نمط جاهز أو مساعدته خطوة بخطوة لابتكار نمط عددي جديد. | يحتاج لنقل نمط جاهز أو مساعدته خطوة بخطوة لابتكار نمط عددي جديد. | 
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | تحليل العلاقات بين الأعداد | يقارن الأعداد | يقارن أعداد ضمن 99. | يقارن بين أي عددين ضمن 99 بشكل صحيح ومستقل، محددا العدد الأكبر والأصغر أو العددان المتساويان بمفرده. كما يمكنه توظيف المقارنة في مواقف حياتية ويحاكيها. | يقارن بين الأعداد بشكل صحيح، ولكنه يتردد أو يخطئ أحياناً عندما تتشابه الأرقام في المنزلتين (مثل المقارنة بين 47 و74). كما يجد صعوبة في توظيف المفهوم في مواقف حياتية. | يقارن بين عددين أقل من عشرة ويواجه صعوبة في المقارنة بين الأعداد المكونة من منزلتين، ويحتاج لدعم مستمر لتحديد أيهما أكبر، مع إمكانية مقارنته لعددين ضمن العدد 10. | يقارن بين عددين أقل من عشرة ويواجه صعوبة في المقارنة بين الأعداد المكونة من منزلتين، ويحتاج لدعم مستمر لتحديد أيهما أكبر، مع إمكانية مقارنته لعددين ضمن العدد 10. | التفكير المنطقي والدقة والموضوعية في المقارنة والترتيب، حب الاستكشاف، الصبر والمثابرة، تحمل المسؤولية، الامانة،، العدالة، تقبل آراء الآخرين،الاعتزاز بالهوية الوطنية،احترام القوانين
