كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الأول الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | يحاول | القيم
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | تحليل العلاقات بين الأعداد | يرتب الأعداد | يرتب أعداد ضمن 99 تصاعدياً أو تنازلياً. | يرتّب مجموعة من 4 أعداد أو أكثر كل منها من منزلتين (تصاعدياً أو تنازلياً) بشكل صحيح ومنظم موظفا الترتيب في مواقف حياتية ويحاكيها. | يرتّب الأعداد بشكل صحيح (3 أعداد أو أقل)، ولكنه يخطئ أو ينسى بعض الأعداد حين الترتيب لأكثر من 3 أعداد. | يرتّب 3 أعداد كل منها ضمن العدد 10 أو أحدها من منزلتين. ويواجه صعوبة في ترتيب الأعداد المكونة من منزلتين. | يرتّب 3 أعداد كل منها ضمن العدد 10 أو أحدها من منزلتين. ويواجه صعوبة في ترتيب الأعداد المكونة من منزلتين. | 
الأعداد حتى 99 | ممارسة البحث عن البنية الرياضية | تحليل العلاقات بين الأعداد | يستخدم اشارات / المقارنة | يستخدم إشارات المقارنة(>< = ) للمقارنة بين عددين ضمن 99. | يستخدم اشارات المقارنة (>< =) ويميزها بدقة، موظفاً إياها في المقارنة بين عددين ضمن 99 بشكل صحيح وضمن مواقف حياتية بمفرده. | يستخدم اشارات المقارنة (>< =) ويميزها ويوظفها في المقارنة بين عددين، ولكنه يتردد أو يخطئ عندما تتشابه الأرقام (مثل 45، 54). ويطوّر قدراته في توظيف المقارنة في مواقف حياتية. | يستخدم إشارات المقارنة (>< =) ويخلط بين اشاراتي المقارنة (><)، / ويؤثر على مقارنته بين عددين وعلى توظيف هذه الإشارات. | يستخدم إشارات المقارنة (>< =) ويخلط بين اشاراتي المقارنة (><)، / ويؤثر على مقارنته بين عددين وعلى توظيف هذه الإشارات. | 
الأعداد حتى 99 |  | تفسير التكرار الرياضي العددي | يعد تصاعدي وتنازلي | يعد تصاعدياً أو تنازلياً ضمن 99. | يعد تصاعدياً وتنازلياً ضمن العدد 99 بدءا من أي عدد مطلوب بسلاسة وطلاقة ودون أي تردد. | يعد تصاعدياً، ولكنه يتردد أو يرتكب بعض الأخطاء عند العد التنازلي خاصة بعد الوصول للعشرات الكاملة (مثل الانتقال من 40 إلى 39). | يجد صعوبة في العد المستمر بمفرده، ويتوقف عن العد بشكل متكرر أو يذكر أعدادا عشوائية مع إمكانية العد تصاعديا حتى العدد 10، وقد يتمكن من العد تصاعديا ضمن العدد 20. | يجد صعوبة في العد المستمر بمفرده، ويتوقف عن العد بشكل متكرر أو يذكر أعدادا عشوائية مع إمكانية العد تصاعديا حتى العدد 10، وقد يتمكن من العد تصاعديا ضمن العدد 20. | الدقة والإنصاف ،التفكير المنطقي والموضوعية، التأني في اصدار الاحكام، حب الاستكشاف، تحمل المسؤولية،تقبل الاختلاف في الرأي،العمل بروح الفريق،التواصل الايجابي، تقدير الجهد،احترام النظام، المحافظة على الموارد البيئية
الأعداد حتى 99 |  | تفسير التكرار الرياضي العددي | يحدد العدد السابق واللاحق(التالي) | يحددالعدد السابق والتالي لأعداد ضمن 99. | يحدد العدد السابق والعدد اللاحق(التالي) لأي عدد يُعطى له حتى 99 بشكل صحيح وذهنياً دون تردد. | يحدد العدد اللاحق بسهولة، ولكنه يتردد أو يخطئ في تحديد العدد السابق خاصة للأعداد التي آحادها صفر (مثل العدد السابق للعدد 50 ) والتالي للأعداد من منزلتين التي آحادها 9 ( مثل العدد 89). | يحدد التالي والسابق للأعداد ضمن العدد 10 أو بالاستعانة بلوحة الأعداد حتى المئة. لكنه يجد صعوبة في الأعداد المكونة من منزلتين | يحدد التالي والسابق للأعداد ضمن العدد 10 أو بالاستعانة بلوحة الأعداد حتى المئة. لكنه يجد صعوبة في الأعداد المكونة من منزلتين | 
الأعداد حتى 99 | ممارسة الدقة الرياضية | تنظيم التمثيل العددي | يكتب الأعداد بصورة منظمة | يكتب أعداد ضمن 99 بصورة منظمة. | يكتب الأعداد ضمن 99 بخط واضح، مرتب، ومراعياً طريقة الكتابة الصحيحة للعدد، مراعياً التباعد المناسب والترتيب البصري المنظم وبشكل ذاتي. | يكتب الأعداد ضمن 99 بشكل صحيح، ولكنه يفتقد للتنظيم أحياناً (مثل كتابة أرقام العدد بأحجام متفاوتة، أو عدم الالتزام بالسطر والمساحات) وكتابة بعض الأعداد بطريقة خاطئة مع صحة صورتها النهائية المكتوبة. | يكتب الأعداد عشوائياً وبشكل مبعثر يصعب قراءتها، ويحتاج إلى سبورة مسطّرة وتوجيه دائم لتنظيم كتابته والالتزام بالطريقة الصحيحة للكتابة. | يكتب الأعداد عشوائياً وبشكل مبعثر يصعب قراءتها، ويحتاج إلى سبورة مسطّرة وتوجيه دائم لتنظيم كتابته والالتزام بالطريقة الصحيحة للكتابة. | الدقة والتنظيم ، حب العمل، احترام النظام،الصبر والالتزام،تحمل المسؤولية، تقدير الجهد،الثقة والمرونة، التعاون واحترام الآخرين، الانتماء للوطن
الأعداد حتى 99 | ممارسة الدقة الرياضية | تنظيم التمثيل العددي | يستخدم المصطلحات الرياضية الملائمة | يستخدمالمصطلحات الرياضية الصحيحة. | يستخدم المصطلحات الرياضية الصحيحة المناسبة بدقة ويوظفها في حديثه. / (مثل: آحاد، عشرات، أكبر من، نمط، جمع). | يستخدم المصطلحات الرياضية ويفهمها عند سماعها. ولكنه ينسى استخدامها أثناء الشرح ويستبدلها بكلمات عامية أو غير دقيقة بمفرده ويحتاج للتذكير بها. | يستخدم الطالب بعض المصطلحات الرياضية البسيطة محاولاً التعبير بها عن المفاهيم، رغم محدودية حصيلته اللغوية. | يستخدم الطالب بعض المصطلحات الرياضية البسيطة محاولاً التعبير بها عن المفاهيم، رغم محدودية حصيلته اللغوية. | 
الأعداد حتى 99 | ممارسة النمذجة الرياضية | تفسير التكرار الرياضي للعد الترتيبي وتوظيفه | يفسر مفهوم العد الترتيبي | يفسرمفهوم العدّ الترتيبي والربط مع مواقع الأشياء ضمن سلسلة معينة. | يفسّر مفهوم العدّ الترتيبي، ويربط بين موقع الأشياء في سلسلة معينة مع رقم المكان المخصص له مدركاً مفهومه وتغيره مع تغير نقطة البداية. | يفسّر مفهوم العدّ الترتيبي، ويربط بين موقع الأشياء في سلسلة معينة مع رقم المكان المخصص له / ولكنه يحتاج لتوجيه لفهم التغيير مع تغير نقطة البداية. | يواجه صعوبة في الربط بين رقم المكان والعد الترتيبي، ويحتاج لدعم حسي وتوجيه مستمر لتحديد مفهوم العد الترتيبي. | يواجه صعوبة في الربط بين رقم المكان والعد الترتيبي، ويحتاج لدعم حسي وتوجيه مستمر لتحديد مفهوم العد الترتيبي. | (النظام والترتيب والدقة)، حب الاستكشاف،الصبر والمثابرة،الأمانة العلمية،العمل بروح الفريق
الأعداد حتى 99 | ممارسة النمذجة الرياضية | تفسير التكرار الرياضي للعد الترتيبي وتوظيفه | يوظف مفهوم العد الترتيبي | يوظف العدّ الترتيبي لتحديد موقع الأشياء. | يوّظف مفهوم العد ّ الترتيبي ويحدد موقع الأشياء في تتابع صوري واقعي منظم مستخدماً مصطلحات العد الترتيبي (الأول، الثاني، الثالث... حتى التاسع) بشكل صحيح ، موظفا ذلك في الألعاب، والأنشطة الصفية، والمواقف الحياتية بوعي تام. | يوّظف مفهوم العد ّ الترتيبي، ويحدد موقع الأشياء في صوري واقعي مستخدماً مصطلحات العد الترتيبي / ولكنه يخلط في الترتيب عند تغيير نقطة البداية (مثلاً البدء من اليسار بدلاً من اليمين). | يواجه صعوبة في تمييز العدّ الترتيبي، ويحتاج لدعم حسي وتوجيه مستمر لتحديد موقع أي عنصر في التتابع المعطى. | يواجه صعوبة في تمييز العدّ الترتيبي، ويحتاج لدعم حسي وتوجيه مستمر لتحديد موقع أي عنصر في التتابع المعطى. | 
الأعداد حتى 99 | ممارسة النمذجة الرياضية | مضاعفات العشرة | يفسر بنية العشرات | يفسر بنية العشرات الكاملة ونمذجة علاقتها مع الأعداد ضمن 9. | يفسّر بنية العشرات (10، 20، ....) لنمذجة العلاقة بينها وبين بالأعداد (1، 2،..) وينمذج العلاقة بينهما مبرراً هذه النمذجة ومفسراً لها، ويوظفها في مواقف حياتية بشكل صحيح ومستقل. | يفسّر بنية العشرات (10، 20، ....) ملاحظا العلاقة بينها وبين الأعداد (1، 2،..)، ولكنه يجد صعوبة في التعبير عنها كنموذج أو تفسيره أو توظيفها في مواقف حياتية . | يواجه صعوبة في الربط بين بنية العشرات (10، 20، ....) والأعداد (1، 2،..) ولا يلاحظ العلاقة كنموذج مع امكانيته العد عشرات دون ادراك جوانب النمذجة. | يواجه صعوبة في الربط بين بنية العشرات (10، 20، ....) والأعداد (1، 2،..) ولا يلاحظ العلاقة كنموذج مع امكانيته العد عشرات دون ادراك جوانب النمذجة. | التفكير الناقد والأمانة العلمية ،الدقة، المرونة في التفكير، احترام النظام، تقدير الموارد في الحياة اليومية، الوعي بالاستهلاك، الانتماء للمجتمع، الانضباط في التفكير
الأعداد حتى 99 | ممارسة النمذجة الرياضية | مضاعفات العشرة | يعد عشرات ويوظفها | يعد العشرات الكاملة تصاعدياً أو تنازلياً ضمن 90. | يعد عشرات (10، 20، 30... حتى 90) تصاعدياً وتنازلياً بطلاقة، ويوظف هذا العد في مواقف تحتاج الى عمليات حسابية معينة. | يعد عشرات تصاعدياً بشكل صحيح، ولكنه يتردد في العد التنازلي للعشرات، و يحتاج لمساعدة لتوظيف هذا العد في العمليات الحسابية. | يعد عشرات تصاعدياً، ولكنه يتردد ويحتاج لمساعدة / في متابعة تسلسل العدّ بالعشرات. | يعد عشرات تصاعدياً، ولكنه يتردد ويحتاج لمساعدة / في متابعة تسلسل العدّ بالعشرات. | 
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | بناء معنى الجمع | يمثل الجمع بوصفه ضماً | يمثل الجمع بوصفه ضم لمجموعة عناصر متشابهة. | يمثل الجمع بوصفه ضماً ويربط مفهومه بـ "ضم" وب (و) للمجموعات أو العناصر المتشابهة من نفس النوع معاً في مجموعة واحدة، ويعبر عن ناتج الضم بجملة جمع صحيحة بمفرده. | يمثل الجمع بوصفه ضماً ويربط مفهومه بـ "ضم" المجموعات أو العناصر المتشابهة من نفس النوع معاً بشكل صحيح، ويحاول التعبير عن ناتج الضم بجملة جمع صحيحة. | يواجه صعوبة في استيعاب مفهوم الجمع كالمجموعات أو العناصر المتشابهة من نفس النوع معاً، ويحتاج لدعم حسي على ذلك. | يواجه صعوبة في استيعاب مفهوم الجمع كالمجموعات أو العناصر المتشابهة من نفس النوع معاً، ويحتاج لدعم حسي على ذلك. | التعاون والعمل الجماعي واحترام رأي الآخرين ،الاقتصاد في الانفاق وتقدير قيمة المال في البيع والشراء، الحفاظ على المرافق العامة،الدقة والترتيب
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | بناء معنى الجمع | يستخدم النماذج في تفسير الجمع | يستخدم النماذج في تفسير عملية الجمع ضمن 99. | يستخدم النماذج والرسومات التوضيحية (مثل لوحة المنازل أو الصور) لتفسير وتوضيح عملية جمع الأعداد ضمن 99 بدقة وسرعة. | يستخدم النماذج لتفسير الجمع في المسائل البسيطة للجمع ولكنه يحتاج الى توجيه أو تلميح خلال استخدامها عند جمع عددين ضمن 99 وناتج جمعهما ضمن 18. | يستخدم النماذج لتفسير الجمع في المسائل البسيطة للجمع ضمن 9 ويحتاج الى توجيه ومساعدة. | يستخدم النماذج لتفسير الجمع في المسائل البسيطة للجمع ضمن 9 ويحتاج الى توجيه ومساعدة. | 
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | بناء معنى الجمع | يربط الجمع بمواقف حياتية | يربط عملية الجمع ضمن 99 بمواقف حياتية . | يربط عملية الجمع بمواقف ومشكلات من حياته اليومية معبراً عنها بجملة جمع من عددين أو أكثر بمفرده. | يربط عملية الجمع بمواقف ومشكلات من حياته اليومية معبراً عنها بجملة جمع إذا كانت واضحة ومباشرة، ولكنه يواجه صعوبة في تحديد العملية إذا كانت مركبة من أكثر من قيمتين. | يربط الجمع بموقف ويحتاج مساعدة وتوجيه باسمرار. وقد لا يميز أن الموقف يتطلب عملية جمع. | يربط الجمع بموقف ويحتاج مساعدة وتوجيه باسمرار. وقد لا يميز أن الموقف يتطلب عملية جمع. | 
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يمثل الجمع بالمحسوسات | يمثل الجمع ضمن 99 بالمحسوسات. | يُمثّل عملية الجمع لأي عددين حتى العدد 99 باستخدام المواد المحسوسة (كالأجسام الحسابية، والأصابع، أو العيدان والحزم، المعداد) لإيجاد ناتج الجمع بدقة وبمفرده. | يُمثّل الجمع بالمحسوسات بشكل صحيح للأعداد ضمن العدد 99 بالعناصر المحسوسة الاعتيادية دون تركيب العشرات ولكنه يتردد أو يخطئ في تنظيم قطع الآحاد وحزم العشرات لتوضيح الناتج ضمن 99. | يمثل عملية الجمع على الأصابع أو المحسوسات ضمن العدد 9 فقط ولكنه يواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل مسألة الجمع. | يمثل عملية الجمع على الأصابع أو المحسوسات ضمن العدد 9 فقط ولكنه يواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل مسألة الجمع. | تقدير النظام والترتيب والدقة، المثابرة والصبر والتفكير المنظم في حل المشكلات،اتخاذ القرار السليم،تحمل المسؤولية، الامانة العلمية، تقدير الجهد
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يوظف خط الأعداد لتمثيل الجمع (هندسياً) | يستخدم خط الأعداد لتمثيل الجمع ضمن 99 دون حمل. | يستخدم خط الأعداد لتمثيل عملية الجمع ضمن 99 بشكل صحيح، حيث يمثل العدد الأول ويقفز جهة اليمين بقدر العدد الثاني بدقة ويربط ناتج الجمع بالعدد الذي يصل اليه على خط الأعداد. / مثال: تمثيل 5+5=10 | يستخدم خط الأعداد في تمثيل الجمع، ولكنه يخطئ أحياناً في اتجاه القفز (يقفز لليسار) مثلاً أو يبدأ التمثيل من العدد 1 بدل صفر ويحتاج لتوجيه بسيط لتعديل حله. | يجد صعوبة في تمثيل الجمع على خط الأعداد، ويحتاج لتوجيه كامل أين يبدأ وكيف يتحرك عليه. | يجد صعوبة في تمثيل الجمع على خط الأعداد، ويحتاج لتوجيه كامل أين يبدأ وكيف يتحرك عليه. | 
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يكتب جمل الجمع العددية | يكتب جمل الجمع العددية ضمن 99 لعائلة جمع. | يكتب جميع جمل الجمع العددية من أعداد ضمن عائلة جمع بشكل صحيح، ومرتب، واضعاً الأعداد والإشارات (+، =) في مكانها الصحيح بشكل عمودي أو أفقي مع التحويل بين الصورتين الأفقية والعمودية بشكل صحيح. | يكتب جمل جمع واحدة صحيحة من أعداد ضمن عائلة الجمع بشكل صحيح، وقد يقع في خلل في اعادة ترتيب جملة الجمع الأفقية لتصبح عمودية اذا كان عدد منازل العددين مختلف. | يحتاج إلى نموذج توضيحي محلول للمساعدة في صياغة أو كتابة جملة الجمع من عائلة جمع. | يحتاج إلى نموذج توضيحي محلول للمساعدة في صياغة أو كتابة جملة الجمع من عائلة جمع. | 
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يحل جمل مفتوحة على الجمع | يحل جمل مفتوحة لعملية الجمع ضمن 99. | يجد العدد المفقود في جمل الجمع المفتوحة (سواء كان المربع الفارغ في الأول أو الوسط) بشكل صحيح وسريع، مستخدماً مهارات عقلية كالعد التصاعدي أو ذهنياً. | يحل الجمل المفتوحة بشكل صحيح عندما يكون المربع الفارغ في وسط الجملة، ولكنه يتردد أو يخطئ عندما يكون في البداية، أو يحتاج لتذكيره بالخطوات واستخدام المحسوسات. | يواجه صعوبة في استيعاب مهارة ايجاد العدد المفقود في عملية جمع، ويقوم بجمع الأعداد الظاهرة عشوائياً دون إدراك للمطلوب. | يواجه صعوبة في استيعاب مهارة ايجاد العدد المفقود في عملية جمع، ويقوم بجمع الأعداد الظاهرة عشوائياً دون إدراك للمطلوب. | 
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | تفسير العلاقات بين العمليات | يربط بين الجمع والعد | يربط بين الجمع ومفهوم العدّ التصاعدي. | يربط بين عملية الجمع ومفهوم العد بطلاقة (مثل الجمع بالعد التصاعدي أو ذهنياً بدءاً من العدد الأكبر بدلا من الأصغر لاختصار الزمن اللازم للحل). | يفهم الربط المذكور ويستخدم العد للجمع، ولكنه قد (يبدأ العد من العدد الأصغر مما يطيل العملية) أو يخطئ في مقدار الزيادة بنقصان أو زيادة واحد. | يمكنه توظيف الأصابع (المحسوسات) لإجراء عمليات جمع بسيطة ضمن العدد 9 بالاعتماد على مهارة العد دون التمكن من الربط المفاهيمي بين العد والجمع. | يمكنه توظيف الأصابع (المحسوسات) لإجراء عمليات جمع بسيطة ضمن العدد 9 بالاعتماد على مهارة العد دون التمكن من الربط المفاهيمي بين العد والجمع. | حب العمل والانجاز،حب الاستطلاع، التفكير الاستدلالي،اتخاذ القرار السليم، الأمانة في الاستنتاج وتحمل المسؤولية، تقبل آراء الآخرين، تقدير التنظيم في الحياة اليومية،الانتماء للمجتمع
الجمع ضمن العدد 99 | ممارسة التفكير الكمي والتجريدي | تفسير العلاقات بين العمليات | يستخدم الجمع في تفسير العلاقات العددية | يستخدم الجمع في تفسير العلاقات العددية بين أعداد ضمن 99. | يستخدم عملية الجمع بمهارة لتفسير واكتشاف العلاقات بين الأعداد. مثل: إدراك أن زيادة عدد ما تؤدي لزيادة الناتج (ربط الجمع بالمقارنة)، أو ربط الجمع بالأنماط المتزايدة) أو ملاحظة أن ناتج الجمع أكبر من العددين المجموعين ضمن الأعداد الطبيعية،....... | يستطيع ملاحظة العلاقة العددية، ولكنه يحتاج لتوجيه لتفسيرها بصورة رياضية معبّرة. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الجمع، ويحتاج لشرح وطرح نموذج محلول على ذلك. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الجمع، ويحتاج لشرح وطرح نموذج محلول على ذلك. | 
الجمع ضمن العدد 99 | ممارسة الدقة الرياضية | تنظيم خطوات الحل الرياضي | يجري الجمع ضمن العدد 18 | يجد ناتج جمع عددين ضمن 18. | يجد ناتج جمع أي عددين ضمن العدد 18 (ذهنياً أو كتابياً) بشكل صحيح ودقيق، وسريع دون أخطاء وبعدة صور أفقياً وعموديا وبمفرده. | يحل مسائل الجمع ضمن 18 بشكل صحيح في الأعداد الصغيرة، ولكنه يخطئ أحياناً عندما يقترب الناتج من العدد 18 أو يحتاج لوقت أطول أو يوظف أصابعه. | يواجه صعوبة في إيجاد ناتج الجمع ضمن العدد 18، ويحتاج لاستخدام المحسوسات دائما. | يواجه صعوبة في إيجاد ناتج الجمع ضمن العدد 18، ويحتاج لاستخدام المحسوسات دائما. | الدقة وحُسن الترتيب والتنظيم،الانضباط ،الصبر والمثابرة، تحمل المسؤولية
الجمع ضمن العدد 99 | ممارسة الدقة الرياضية | تنظيم خطوات الحل الرياضي | يكتب الحل بصورة منظمة | يكتب جمل الجمع العمودية أو الافقية بصورة منظمة. | يكتب الحل وجملة الجمع سواء (الأفقية أو العمودية) بخط واضح، مرتب، والخانات بدقة وبمفرده. | يكتب الحل بشكل صحيح، ولكنه يفتقد للتنظيم البصري أحياناً (مثل تداخل الأرقام بين خانتي الآحاد والعشرات). | يكتب أعداد المسألة عشوائياً وبشكل مبعثر في الحل ويصعب قراءة ما كتبه وتتبع خطواته. | يكتب أعداد المسألة عشوائياً وبشكل مبعثر في الحل ويصعب قراءة ما كتبه وتتبع خطواته. | 
الجمع ضمن العدد 99 | التعميم من التكرار | تفسير الجمع مع العدد 10 وتعميمه | يعمم طريقة الجمع مع العدد 10 | يعمم طريقة الجمع مع العدد 10 في إيجاد ناتج جمع عددين ضمن 18. | يعمم القاعدة الذهنية للجمع مع العدد 10 بطلاقة مثل (10 + 5 = 15) بتغيير رقم الآحاد فقط مفسرا تعميم هذه القاعدة رياضيا وبدقة. | يعمم طريقة الجمع مع العدد 10 بتطبيقها بشكل صحيح، ويحتاج وقتاً لاكتشاف القاعدة الذهنية أو التعبير عنها وتفسيرها. | يواجه صعوبة في فهم نمط الجمع مع العدد 10، ويحتاج لإعادة عد المجموعات من البداية بالآحاد وبمساعدة مباشرة. | يواجه صعوبة في فهم نمط الجمع مع العدد 10، ويحتاج لإعادة عد المجموعات من البداية بالآحاد وبمساعدة مباشرة. | التفكير الابتكاري ،الثقة والمرونة، الدقة والمرونة،احترام النظام،تحمل المسؤولية
الجمع ضمن العدد 99 | التعميم من التكرار | تفسير ايجاد ناتج الجمع بالتكميل للعدد 10 | يفسر الجمع ضمن العدد 18 باستخدام طريقة التكميل للعدد 10 وتوظيفها. | يجد ناتج جمع عددين ضمن 18 بطريقة التكميل للعدد 10. | يجد ناتج جمع عددين ضمن 18 بتجزئة الأعداد ذهنياً لتكوين العدد 10 أولاً ثم إضافة العدد المتبقي بشكل دقيق وصحيح وبمفرده مثل: /  8+7= (8+2) +5 / مفسراً حله لفظياً وكتابياً وبدقة. | يجد ناتج جمع عددين ضمن 18 بتوظيف فكرة التكميل للعدد 10 في المسائل البسيطة. / ويحتاج لتوجيه للتعبير عنها لفظياً وتفسير الخطوات رياضياً. | يجد ناتج جمع عددين ضمن 18 بتوظيف فكرة التكميل للعدد 10 بالمحسوسات ويحتاج الى توجيه مباشر خطوة بخطوة ليطبق الفكرة ويعبر عنها لفظيا. | يجد ناتج جمع عددين ضمن 18 بتوظيف فكرة التكميل للعدد 10 بالمحسوسات ويحتاج الى توجيه مباشر خطوة بخطوة ليطبق الفكرة ويعبر عنها لفظيا. | الدقة في التقدير،حب الاستكشاف، الأمانة في الاستنتاج، الثقة في الحل، التنظيم الذهني، اتخاذ القرار المناسب، الانتماء للمجتمع من خلال فهم العمليات الحسابية في الحياة اليومية
الجمع ضمن العدد 99 | التعميم من التكرار | تفسير الجمع ضمن 99 دون حمل وتعميمها | يعمم طريقة الجمع ضمن 99 دون حمل | يعمم طريقة جمع عددين ضمن 99 دون حمل( دمع الآحاد مع الآحاد والعشرات مع العشرات). | يعمم القاعدة الذهنية للجمع ضمن 99 دون حمل ( جمع الآحاد مع الآحاد والعشرات مع العشرات) بطلاقة مثل (24 + 35 = 59) مفسراً الناتج رياضياً وبدقة وبسرعة | يعمم طريقة الجمع ضمن 99 دون حمل بتطبيقها بشكل صحيح، ويحتاج وقتاً للحساب الذهني أو تفسير الناتج. | يواجه صعوبة في فهم نمط الجمع ضمن 99 ، ويحتاج للمحسوسات لإيجاد الناتج. | يواجه صعوبة في فهم نمط الجمع ضمن 99 ، ويحتاج للمحسوسات لإيجاد الناتج. | التفكير الابتكاري ،الترتيب والتظيم ،الثقة والمرونة
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | تحليل بنية المسألة العددية | يحدد المعطيات العددية وترميزها | يحدد المعطيات العددية في مسألة كلامية | يحدد الطالب المعلومات والأعداد الهامة (المعطيات) من المسألة اللفظية بعد قراءتها بطلاقة مميزاً المعلومات الزائدة ان وجدت "حسب المطلوب " ذاتيا وبشكل صحيح. | يحدد الطالب المعلومات والأعداد الهامة (المعطيات) ولكنه يحتاج لقراءة المسألة عدة مرات لاستخراج المعطيات وقد يوظف المعلومات الزائدة في الحل. | يجد صعوبة في تمييز المعطيات من النص، أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء. | يجد صعوبة في تمييز المعطيات من النص، أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء. | حب الوطن والاعتناءبنظافته ومرافقه العامة، احترام الآخرين، الصدق في التعامل،الصبر والمثابرة،الأمانة العلمية،اتخاذ القرار المناسب،تحمل المسؤولية
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | تحليل بنية المسألة العددية | يحدد المطلوب العددي | يحدد المطلوب العددي في مسألة كلامية | يحدد بدقة السؤال الأساسي أو المجهول المراد ايجاده في المسألة اللفظية بعد قراءتها بطلاقة وفهم المقروء بشكل مستقل. | يقرأ المسألة ويحتاج لتوجيه لفهم المقروء من المسألة وصياغته أو تحديده بدقة. | يشتته النص اللفظي دون تقديم محاولات مستقلة. أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء وتحديد المطلوب. | يشتته النص اللفظي دون تقديم محاولات مستقلة. أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء وتحديد المطلوب. | 
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | تحليل بنية المسألة العددية | يحدد العملية المناسبة | يختار العملية الحسابية المناسبة لحل مسألة كلامية. | يختار العملية الحسابية الصحيحة التي تتطلبها المسألة بناءً على فهمه للموقف وتحديده للمعطيات والمطلوب مفسراً سبب اختياره لعملية الجمع بناءً على مفهوم الجمع. | يختار العملية الحسابية الصحيحة التي تتطلبها المسألة في حال كانت بسيطة ومكونة من معطيين وقد لا يتمكن من التعبير عن سبب اختيار العملية للحل. / يتردد في اختيار العملية، إذا كانت المسألة مكونة من معطيات زائدة او مركبة من أكثر من عملية جمع. | يختار العمليات الحسابية عشوائياً ويختار لها من الأعداد في المسألة عشوائيا دون الربط المنطقي بمتطلبات المسألة. | يختار العمليات الحسابية عشوائياً ويختار لها من الأعداد في المسألة عشوائيا دون الربط المنطقي بمتطلبات المسألة. | 
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات الحل | يستخدم المحسوسات | يستخدم المحسوسات لتمثيل مسألة كلامية لحلها. | يستخدم ويختار الأدوات والمواد المحسوسة الملائمة لتمثيل المسألة الكلامية مفسراً الربط بين الناتج المحسوس والمجرد رياضياً. | يستخدم المحسوسات التي تحاكي معطيات المسألة ويربط بين الناتج المحسوس والمجرد ويحتاج لتوجيه في تفسير العلاقة بين طرق الحل بالمحسوسات والمجرد رياضياً. | يستخدم الأدوات المحسوسة بعشوائية دون أساس منطقي ويحتاج لعدة محاولات للحل. | يستخدم الأدوات المحسوسة بعشوائية دون أساس منطقي ويحتاج لعدة محاولات للحل. | التعاون والعمل الجماعي واحترام رأي الآخرين ، تقدير قيمة المال،التفكير المرن،الانضباط في التفكير
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات الحل | يستخدم العد التصاعدي في إيجاد حل المسألة الكلامية | يستخدم العدّ التصاعدي لجمع عددين ضمن 99. | يستخدم مهارة العد (التصاعدي) ويوظفها بكفاءة لتنفيذ عملية الجمع ويربط بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل المسألة. | يستخدم مهارة العد (التصاعدي) ويوظفها لتنفيذ عملية الجمع ولكنه يحتاج لتوجيه في الربط بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل المسألة. | يتوقف سريعاً عن متابعة الحل ويحتاج لدعم أو نموذج مباشر ليحاكي العد التصاعدي في إيجاد حل المسألة. | يتوقف سريعاً عن متابعة الحل ويحتاج لدعم أو نموذج مباشر ليحاكي العد التصاعدي في إيجاد حل المسألة. | 
