كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثاني الأساسي 2026-2027(تم تعديل جميع الاعمدة بحيث يكون اول عمودين مصادر والبقية أفعال)
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | مستوى الانجاز | مستوى الانجاز | مستوى الانجاز | القيم
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يرتب الأعداد | يرتب الاعداد تصاعديا ضمن 999 / -يرتب الاعداد تنازليا ضمن 999 | يرتب الاعداد تصاعديا ضمن 999 / -يرتب الاعداد تنازليا ضمن 999 | يرتّب مجموعة من 4 أعداد أو أكثر كل منها من ثلاث منازل ضمن 999 (تصاعدياً أو تنازلياً) بشكل صحيح ومنظم ويوظف الترتيب في مواقف حياتية ويحاكيها. | يرتّب الأعداد بشكل صحيح (3 أعداد أو أقل)، ولكنه يخطئ أو ينسى بعض الأعداد حين الترتيب لأكثر من 3 أعداد. | يواجه صعوبة في ترتيب الأعداد المكونة من ثلاث منازل ضمن999، مع إمكانية ترتيب 3 أعداد كل منها ضمن العدد 199. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | العد التصاعدي والتنازلي | يعدالاعداد تصاعديا ضمن 999 / -يعدالاعداد تنازليا ضمن 999 | يعدالاعداد تصاعديا ضمن 999 / -يعدالاعداد تنازليا ضمن 999 | يعد تصاعدياً وتنازلياً ضمن العدد 999 بدءا من أي عدد مطلوب بسلاسة وطلاقة ودون أي أخطاء. | يعد تصاعدياً بشكل مميز، ولكنه يتردد أو يرتكب بعض الأخطاء عند العد التنازلي خاصة بعد الوصول للمئات الكاملة (مثل الانتقال من 500 إلى 499). | يجد صعوبة في العد المستمر بمفرده، ويتوقف عن العد بشكل متكرر أو يذكر أعدادا عشوائية مع إمكانية العد تصاعديا حتى العدد 199،ويواجه صعوبة بالعد التنازليوقد يتمكن من العد تصاعديا ضمن العدد 999. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يحدد العدد السابق والعدد التالي | -يحدد العدد التالي ضمن 999 / -يحدد العدد التالي ضمن 999 | -يحدد العدد التالي ضمن 999 / -يحدد العدد التالي ضمن 999 | يحدد العدد السابق والعدد التالي لأي عدد يُعطى له حتى 999 بشكل صحيح وذهنياً دون أخطاء. | يحدد العدد التالي بسهولة، ولكنه يتردد أو يخطئ في تحديد العدد السابق خاصة للأعداد التي آحادها وعشراتها صفر (مثل العدد السابق للعدد 500). | لا يتمكن من مهارة تحديد العدد السابق والتالي للأعداد المكونة من ثلاث منازل ضمن 999، مع إمكانية معرفته للمفهومين وتطبيقهما على الأعداد ضمن 199 ويمكنه تحديد التالي والسابق من خلال الاستعانة بالأجسام الحسابية. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يميز بين العدد الزوجي والعدد الفردي | -يميز الطالببين العدد الزوجي والفردي ضمن 99 | -يميز الطالببين العدد الزوجي والفردي ضمن 99 | يحدّد الأعداد الزوجية والفردية لأعداد معطاة ضمن 99 بسرعة وبدون أخطاء. | يحدّد الأعداد الزوجية والفردية لأعداد معطاة ضمن 99 مع وجود بعض الأخطاء. | يواجه صعوبة في تحديد الأعداد الزوجية والفردية لأعداد معطاة ضمن 99 ويحتاج مساعدة. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يميز بين العدد الزوجي والعدد الفردي | -يميز بين العدد الزوجي والفردي ضمن 999 | -يميز بين العدد الزوجي والفردي ضمن 999 | يحدّد الأعداد الزوجية والفردية لأعداد معطاة ضمن 999 بسرعة وبدون أخطاء. | يحدّد الأعداد الزوجية والفردية لأعداد معطاة ضمن 999 مع وجود بعض الأخطاء. | يواجه صعوبة في تحديد الأعداد الزوجية والفردية لأعداد معطاة ضمن 999 ويحتاج مساعدة. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يعدالعشرات في العدد | -يجد عدد العشرات في عدد ضمن 999 | -يجد عدد العشرات في عدد ضمن 999 | يحدد عدد العشرات الكاملة او غير الكاملة في عدد ضمن 999 بإزالة منزلة الاحاد ويفسر سبب ازالة الاحاد | يحدد عدد العشرات الكاملة وغير الكاملة لعدد ضمن 999 بإزالة منزلة الاحاد دون تفسير | يواجه صعوبة في تحديد عدد العشرات الكاملة وغير الكاملة في عدد ضمن 999 | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يكونالأعداد من آحاد وعشرات ومئات | يكون عدد ضمن 999 حسب المعطيات | يكون عدد ضمن 999 حسب المعطيات | يكتب العدد ضمن 999 بناءً على المعطيات المباشرة (مثل: 4 آحاد و6 عشرات و2 مئات تُعطي 264) أو غير المباشرة مثل (كتابة العدد من صورته الموسعة). | يكتب العدد ضمن 999 بناءً على صورته الموسعة أو المعطيات المباشرة لكنه يقلب الترتيب أحياناً فيكتب (146 بدلاً من 641) عندما تبدأ العبارة المعطاه بالمئات. | لا يربط مكونات الآحاد والعشرات والمئات لتشكيل عدد صحيح، ويحاول في حال وجود نموذجا محلولا. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يحددالاعداد الناقصة | -يكمل اعداد ناقصة من سلسلة اعداد ضمن 999 | -يكمل اعداد ناقصة من سلسلة اعداد ضمن 999 | يكمل اعداد ناقصة من سلسلة اعداد ضمن 999 سواء على خط الاعداد او من خلال جدول بسرعة وطلاقة | يطور قدراته في اكمال اعداد ناقصة من سلسلة اعداد ضمن 999 سواء على خط الاعداد ام خلال جدول | يحاول اكمال اعداد ناقصة من سلسلة اعداد ضمن 999 | 
 |  |  |  | يستخدمالنماذج في تفسير الجمعضمن 99 | -يجد ناتج الجمع ضمن 99من خلال الصور واللوحات وشبه المحسوس | -يجد ناتج الجمع ضمن 99من خلال الصور واللوحات وشبه المحسوس | يوظف النماذج والرسومات التوضيحية (مثل لوحة المنازل أو الصور) لتفسير وتوضيح عملية الجمع ضمن 99 بشكل دقيق. | يستعين بالنماذج لتفسير الجمع في المسائل البسيطة للجمع ولكنه يخطئ في استخدامها أو يتردد عند جمع عددين ضمن 99. | لا يتمكن من استخدام أو فهم النماذج المرسومة لتفسير عملية الجمع ضمن 99، ويحتاج إلى تبسيط وتوجيه مستمر. | 
 |  |  |  | حل مشكلات حياتية على عملية الجمع | -يحل مسائل جمع كلامية ضمن 99 | -يحل مسائل جمع كلامية ضمن 99 | يربط عملية الجمع بمواقف ومشكلات من حياته اليومية ويعبر عنها بجملة جمع من عددين أو أكثر ذاتيا. | يربط عملية الجمع بمواقف ومشكلات من حياته اليومية ويعبر عنها بجملة جمع إذا كانت واضحة ومباشرة، ولكنه يواجه صعوبة في تحديد العملية إذا كانت مركبة من أكثر من قيمتين. | يواجه صعوبة في ربط الجمع بموقف حياتي، ولا يميز أن الموقف يتطلب عملية جمع. | 
