كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثاني الأساسي 2026-2027(تم تعديل جميع الاعمدة بحيث يكون اول عمودين مصادر والبقية أفعال)
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | مستوى الانجاز | مستوى الانجاز | مستوى الانجاز | القيم
 | ممارسةفهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | مراجعة الحل والتحقق منه | يفسر الناتج في ضوء المسألة | -يعبر عن فهم الناتج بكتابة المميز بعدالجواب | -يعبر عن فهم الناتج بكتابة المميز بعدالجواب | يربط الناتج النهائي بسياق المسألة الأصلي ويعبر عنه بتمييز صحيح (مثل: 65 ديناراً) وبوعي تام بمفرده. | يكتب الناتج كعدّد مجرد، ويحتاج لتوجيه ليربطه بسياق المسألة أو يكتب تمييزاً غير دقيق. | يكتب عدداً نهائياً دون أي فهم لما يمثله هذا العدد في الواقع أو ضوء المسألة المطروحة | 
 | ممارسةالدقة الرياضية | تنظيم خطوات الحل الرياضي | تنظيم خطوات الحل الرياضي | يجريالجمع ضمن العدد 99 دون حمل ومع حمل | -يجد ناتج الجمع ضمن 99 بدون حمل ومع حمل بشكل صحيح | -يجد ناتج الجمع ضمن 99 بدون حمل ومع حمل بشكل صحيح | يجد ناتج جمع أي عددين ضمن العدد 99 دون حمل ومع حمل (ذهنياً أو كتابياً) بشكل صحيح ودقيق، وسريع دون أخطاء وبعدة صور أفقيا وعموديا وبمفرده. | يحل مسائل الجمع ضمن 99 بدون حمل ومع حمل بشكل صحيح في الأعداد الصغيرة، ولكنه يتردد أو يخطئ أحياناً عندما يقترب الناتج من العدد 99 أو يحتاج لوقت أطول. | يواجه صعوبة في إيجاد ناتج الجمع ضمن العدد 99دون حمل ومع حمل ويحتاج لاستخدام المحسوسات دائما. | الترتيب والدقة والتنظيم ،الصبر والمثابرة، تحمل المسؤولية،الأمانة العلمية،
 | ممارسةالدقة الرياضية | تنظيم خطوات الحل الرياضي | تنظيم خطوات الحل الرياضي | يجريالجمع ضمن العدد 999 دون حمل ومع حمل | -يجد ناتج الجمع ضمن 999 بدون حمل ومع حمل بشكل صحيح | -يجد ناتج الجمع ضمن 999 بدون حمل ومع حمل بشكل صحيح | يجد ناتج جمع أي عددين ضمن العدد 999 دون حمل ومع حمل (ذهنياً أو كتابياً) بشكل صحيح ودقيق، وسريع دون أخطاء وبعدة صور أفقيا وعموديا وبمفرده. | يحل مسائل الجمع ضمن 999 بدون حمل ومع حمل بشكل صحيح في الأعداد الصغيرة، ولكنه يتردد أو يخطئ أحياناً عندما يقترب الناتج من العدد 999أو يحتاج لوقت أطول. | يواجه صعوبة في إيجاد ناتج الجمع ضمن العدد 999 دون حمل ومع حمل ويحتاج لاستخدام المحسوسات دائما. | 
 | ممارسةالدقة الرياضية | تنظيم خطوات الحل الرياضي | تنظيم خطوات الحل الرياضي | يكتبالحل بصورة منظمة | -يكتب حل مسألة الجمع بصورة منظمة | -يكتب حل مسألة الجمع بصورة منظمة | يكتب خطوات الحل والمسائل الحسابية (سواء الأفقية أو العمودية) بخط واضح، مرتب، والمنازلبدقة وبمفرده تماماً. | يكتب الحل بشكل صحيح، ولكنه يفتقد للتنظيم البصري أحياناً (مثل تداخل الأرقام بين خانتي الآحاد والعشرات أو عدم الالتزام بالسطر). | يكتب أعداد المسألة عشوائياً وبشكل مبعثر في الحل يصعب قراءته أو تتبع خطواته. | 
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | بناء معنى الطرح | بناء معنى الطرح | يمثل الطرح بوصفه إزالة | -يجد ناتج الطرح بالأشكال المحسوسة من خلال الحذف والشطب | -يجد ناتج الطرح بالأشكال المحسوسة من خلال الحذف والشطب | يربط مفهوم الطرح بـ "ازالة وحذف" عناصر من مجموعة، ويعبر عن ناتج الازالة بجملة طرح صحيحة ذاتيا. | يربط مفهوم الطرح بـ "إزالة وحذف" عناصر من مجموعات، ويحاول التعبير عن عناصر المجموعة بعد الحذف بجملة طرح صحيحة. | يواجه صعوبة في استيعاب مفهوم الطرح كحذف، ويحتاج لدعم حسي في ذلك. | الوعي بالتغيير ، حب الاستكشاف، تحمل المسؤولية، الوعي بالنظام
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | بناء معنى الطرح | بناء معنى الطرح | يستخدمالطرح في تفسير العلاقات العددية | يفسر علاقة الطرح بالنقصان والنمط المتناقص | يفسر علاقة الطرح بالنقصان والنمط المتناقص | يستخدم عملية الطرح بمهارة لتفسير واكتشاف العلاقات بين الأعداد، (ربط الطرح بالأنماط المتناقصة) | يستطيع ملاحظة العلاقة العددية، ولكنه يحتاج لمساعدة أو أسئلة توجيهية لصياغتها على صورة حقيقة طرح وتفسيرها رياضياً. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الطرح، ويحتاج لشرح وطرح نموذج محلول على ذلك. | 
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | بناء معنى الطرح | بناء معنى الطرح | يمثلالطرح بوصفه مقارنة | -يربط الطرح مع المقارنة | -يربط الطرح مع المقارنة | يستخدم النماذج والرسومات التوضيحية لتفسير وتوضيح عملية الطرح كمقارنة بين مجموعتين (معرفة الفارق أو كم يزيد/ينقص أحدهما عن الآخر) ويطبق ذلك في مواقف مشابهة ويفسر خطوات الحل بشكل دقيق ومستقل. | يستعين بالنماذج لتفسير الطرح بوصفه مقارنة في المسائل البسيطة، ولكنه يأخذ هذه الكلمات ككلمات مفتاحية دون التأكد من العملية. | لا يتمكن من استخدام أو فهم النماذج المرسومة لتفسير الطرح بوصفه مقارنة بين كميتين ويخلط بين كم يزيد فيجمع وبين كم ينقص فيطرح دون تفسير منطقي. | حب العمل الجماعي واحترام الآراء
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | بناء معنى الطرح | بناء معنى الطرح | يربطالطرح بمواقف حياتية مناسبة | -يعبر عن جملة الطرح بربطها مع موقف من حياته | -يعبر عن جملة الطرح بربطها مع موقف من حياته | يربط عملية الطرح بمواقف ومشكلات من حياته اليومية ويعبر عنها بجملة طرح ذاتيا ويفسر العملية وان كانت مركبة من أكثر من عملية وخطوات الحل. | يربط عملية الطرح بمواقف ومشكلات من حياته اليومية ويعبر عنها بجملة طرح إذا كانت واضحة ومباشرة، ولكنه يواجه صعوبة في تحديد العملية إذا كانت مركبة وتحتاج جمع وطرح معا. | يواجه صعوبة في ربط الطرح بموقف حياتي، ولا يميز أن الموقف يتطلب عملية جمع أو طرح | مسؤولية-اعتدال-ترشيد
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | تمثيل العمليات العددية | تمثيل العمليات العددية | يمثلعملية الطرح ضمن 99 بالمحسوسات | -يمثل عملية الطرح ضمن 99 باستخدام المحسوسات | -يمثل عملية الطرح ضمن 99 باستخدام المحسوسات | يُمثّل عملية الطرح ضمن العدد 99 باستخدام المواد المحسوسة (كالأجسام الحسابية، والأصابع، أو العيدان والحزم، المعداد) ويجد نانج الطرح بدقة ويفسره. | يُمثّل الطرح بالمحسوسات بشكل صحيح بالعناصر المحسوسة الاعتيادية دون تركيب العشرات، ولكنه يتردد أو يخطئ في تنظيم قطع الآحاد وحزم العشرات لتوضيح ناتج عملية الطرح ضمن 99. | يمثل عملية الطرح على الأصابع أو المحسوسات ضمن العدد 9 ولكنه يواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل عملية الطرح ضمن 99. | حب الاستكشاف،المسؤولية، الدقة والترتيب والتنظيم
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | تمثيل العمليات العددية | تمثيل العمليات العددية | يمثلعملية الطرح ضمن 999 بالمحسوسات | -يمثل عملية الطرح ضمن 999 باستخدام المحسوسات | -يمثل عملية الطرح ضمن 999 باستخدام المحسوسات | يُمثّل عملية الطرح ضمن العدد 999 باستخدام المواد المحسوسة (كالأجسام الحسابية، أو العيدان والحزم، المعداد) ويجد نانج الطرح بدقة ويفسره. | يُمثّل الطرح بالمحسوسات بشكل صحيح بالعناصر المحسوسة الاعتيادية دون تركيب المئات، ولكنه يتردد أو يخطئ في تنظيم قطع الآحاد وحزم العشرات وحزم المئات لتوضيح ناتج عملية الطرح ضمن 999. | يمثل عملية الطرح بالمحسوسات ضمن العدد 99ولكنه يواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل عملية الطرح ضمن 999. | 
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | تمثيل العمليات العددية | تمثيل العمليات العددية | يمثلعملية الطرح على خط الأعداد | -يمثل عملية الطرح على خط الاعداد | -يمثل عملية الطرح على خط الاعداد | يُمثّل عملية الطرح على خط الأعداد بشكل صحيح، بالبدء من العدد الأكبر والقفز تنازليا جهة اليسار بدقة ويربط ناتج الطرح بالعدد الذي يصل اليه. | يستخدم خط الأعداد في تمثيل الطرح، ولكنه يخطئ أحياناً في اتجاه القفز (يقفز لليمين) بعد تمثيل العدد الأول أو الأكبر أو يخطئ في عد القفزات نفسها ويحتاج لتوجيه بسيط. | يجد صعوبة في تمثيل الطرح على خط الأعداد، ولا يعرف من أين يبدأ أو كيف يتحرك عليه دون مساعدة. | 
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية |  |  | يكونجمل طرح من أعداد معطاة | -يكوّن جملة الطرح من اعداد معطاة. | -يكوّن جملة الطرح من اعداد معطاة. | يكون جمل الطرح العددية من أعداد معطاة بشكل صحيحح، مرتب، واضعاً الأعداد والإشارات (-، =) في مكانها الصحيح بشكل عمودي أو أفقي ويحول بين الصورتين الأفقية والعمودية بشكل صحيح. | يكون جمل الطرح العددية من أعداد معطاة بشكل صحيح، ولكنه يخطئ أحياناً في اتجاه الإشارات أو يقلب ترتيب أرقام العدد في الجملة الحسابية عند الانتقال من الطرح الأفقي إلى العمودي، أو خلل في الترتيب اذا كان عدد المنازل مختلف للعددين. | يواجه صعوبة في تكوين جملة الطرح، ويحتاج إلى نموذج توضيحي محلول للمساعدة في الحل. | 
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | تفسير العلاقات بين العمليات | تفسير العلاقات بين العمليات | يربطبين الطرح والجمع | -يحول جملة الجمع الى جملة طرح / - يحول جملة الطرح الى جملة جمع | -يحول جملة الجمع الى جملة طرح / - يحول جملة الطرح الى جملة جمع | يربط بين عملية الجمع والطرح ويحول جملة الجمع الى جملتين طرح وبالعكس بشكل سريع وبطلاقة مع تفسير لخطواته | يربط بين الجمع والطرح، ويحول جملة الجمع الى جملة طرح واحدة فقط وبالعكس مع محاولة تفسيره لخطواته | لا يستطيع الربط بين الجمع والطرح. | حب الاستكشاف ، الوعي والدقة، التفكير المنطقي المنظم، الأمانة العلمية،تقبل رأي الآخرين، تقدير قيمة التنظيم، حب الاستطلاع
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | تفسير العلاقات بين العمليات | تفسير العلاقات بين العمليات | يستخدمالطرح في تفسير الفرق | -يعبر عن جملة الطرح بإيجاد الفرق بين الكميتين | -يعبر عن جملة الطرح بإيجاد الفرق بين الكميتين | يوظف عملية الطرح بشكل مستقل لشرح وتفسير الفرق بين كميتين أو عددين، معبراً عن الناتج بدلالة المقارنة (مثل: أحمد معه 25 قلماً زيادة عن محمد) بوعي تام وبمفرده. | يستطيع إيجاد ناتج الطرح الصحيح الذي يمثل الفرق، ولكنه يجد صعوبة أو يحتاج إلى توجيه من المعلم ليفسر معنى هذا الفارق لفظياً أو يربطه بالموقف بالشكل الصحيح. | لا يتمكن من استخدام الطرح لتفسير أو معرفة الفرق بين العددين، ويخلط بين إيجاد المجموع وإيجاد الفارق. | 
 | ممارسةالتفكير الكمي والتجريدي /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالنمذجة الرياضية | تفسير العلاقات بين العمليات | تفسير العلاقات بين العمليات | يوظفالطرح في العلاقات العددية | -يستنتج ان الطرح له علاقة بالنقصان والانماط المتناقصة | -يستنتج ان الطرح له علاقة بالنقصان والانماط المتناقصة | يستخدم عملية الطرح بمهارة لتفسير واكتشاف العلاقات بين الأعداد، مثل إدراك أن طرح عدد ما تؤدي لنقصان الناتج (ربط الطرح بالمقارنة)، أو ربط الطرح بالأنماط المتناقصة) أو ملاحظة أن ناتج الطرح أصغر من العددين ضمن 99، وضمن 999. | يستطيع ملاحظة العلاقة العددية، ولكنه يحتاج لمساعدة أو أسئلة توجيهية لصياغتها على صورة حقيقة طرح وتفسيرها رياضياً. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الطرح، ويحتاج لشرح وطرح نموذج محلول على ذلك. | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يحدد المعطيات | - يحدد المعطيات من المسألة الكلامية | - يحدد المعطيات من المسألة الكلامية | يستخرج الطالب المعلومات والأعداد الهامةالمعطيات ضمن 99، وضمن 999 من المسألة اللفظية بعد قراءتها بطلاقة ويحدد المعلومات الزائدة ان وجدت "حسب المطلوب في البند التالي" ذاتيا وبشكل صحيح. | يحتاج لقراءة المسألة عدة مرات لاستخراج المعطيات وقد يوظف المعلومات الزائدة في الحل. | لا يستطيع تمييز المعطيات من النص، أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء. | الاعتزاز بالوطن والانتماء إليه ، التعاون والعمل بروح الفريق،احترام آراء الآخرين، تحمل المسؤولية، الدقة والنظام
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يحدد المطلوب | - يحدد المطلوب من المسألة الكلامية | - يحدد المطلوب من المسألة الكلامية | يحدد الطالب بدقة السؤال الأساسي أو المجهول المراد ايجاده في المسألة اللفظية بعد قراءتها بطلاقة وفهم المقروء بشكل مستقل. | يقرأ المسألة ويحتاج لمساعدة لفهم المقروء في المسألة وصياغته أو تحديده بدقة. | لا يتمكن من تحديد المطلوب أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء، ويشتته النص اللفظي دون تقديم محاولات مستقلة. | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يختارالعملية المناسبة | - يحدد العملية المناسبة للمسألة الكلامية | - يحدد العملية المناسبة للمسألة الكلامية | يختار العملية الحسابية الصحيحة (جمع أو طرح) التي تتطلبها المسألة بناءً على فهمه للموقف وتحديده للمعطيات والمطلوب -سابقاً-بطلاقة. | يتردد في اختيار العملية المناسبة، خاصة اذا كانت المسألة مكونة من معطيات زائدة او مركبة من أكثر من عملية جمع أو طرح. | يختار العمليات الحسابية عشوائياً ويختار من الأعداد في المسألة عشوائيا دون الربط المنطقي بمتطلبات المسألة. | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يستخدمالمحسوسات | -يستخدم المحسوسات والادوات لتمثيل مسالة الطرح اللفظية | -يستخدم المحسوسات والادوات لتمثيل مسالة الطرح اللفظية | يختار ويستخدم الأدوات والمواد المحسوسة الملائمة لتمثيل المسألة اللفظية والوصول للحل الصحيح. ويربط بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل مسألة الطرح اللفظية. | يستخدم المحسوسات التي تحاكي معطيات المسألة، ولكنه يحتاج لتوجيه في كيفية توظيفها لتمثيل المسألة، كما يغفل عن الربط بين طرق الحل المختلفة لمسألة الطرح اللفظية. | لا يتمكن من ربط الأدوات المحسوسة بالمسألة، أو يستخدمها بعشوائية دون أساس منطقي | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يستخدمالنماذج والرسومات التوضيحية | -يستخدم الرسومات والمخططات لتمثيل مسالة الطرح اللفظية | -يستخدم الرسومات والمخططات لتمثيل مسالة الطرح اللفظية | يرسم نماذج توضيحية أو مخططات بسيطة للمسألة لتمثيل المسألة وحلها بشكل دقيق. ويربط بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل مسألة الطرح اللفظية. | يستعين بالرسم في المسائل البسيطة، ولكنه يجد صعوبة في تنظيم رسوماته أو تمثيل المعطيات الزائدة أو التي يزيد عددها عن عددين دون تلميح. | لا يستطيع التعبير عن المسألة بالرسم أو النماذج بمفرده، ويحتاج نموذج جاهزاً. | 
 | ممارسةفهم المسألة والمثابرة في حلها | يراجعالحل والتحقق منه | يراجعالحل والتحقق منه | يتحققمن الحل باستخدام الجمع | -يتحقق الطالب من ناتج الطرح باستخدام الجمع | -يتحقق الطالب من ناتج الطرح باستخدام الجمع | يتحقق من صحة ناتجه النهائي مستخدماً الجمع "حقيقة الجمع المقابلة للطرح" ويفسر اجابته بالشكل الصحيح. | لا يعط أولوية للتحقق من صحة حله ويكتفي بالنظر السريع للإجابة دون استخدام استراتيجية تحقق واضحة. ويمكنه ذلك عند الطلب منه للمسائل اللفظية البسيطة من عملية طرح واحدة | ينهي الحل -في حالة حله- ولا يبدي أي محاولة للتحقق من صحته، ويتقبل النواتج الخاطئة دون انتباه. | الدقة والأمانة العلمية والمسؤولية
 | ممارسةفهم المسألة والمثابرة في حلها | يراجعالحل والتحقق منه | يراجعالحل والتحقق منه | يراجعخطوات الحل | -يراجع خطوات الحل بشكل متسلسل ليتأكد من صحة الناتج | -يراجع خطوات الحل بشكل متسلسل ليتأكد من صحة الناتج | يراجع الطالب جميع الخطوات الرياضية التي اتبعها بالتسلسل لضمان خلوها من الأخطاء وبشكل مستقل، ويستفيد من الحل في حل أسئلة أخرى ذات طابع مشابه. | يراجع خطواته بشكل سطحي وسريع، ولا يعيد النظر في خطوات الحل ويحتاج لتوظيف مهارة الحل في حل أسئلة أخرى ذات طابع مشابه. | لا يبدي اهتماما في مراجعة خطواته أو تتبعها لمعرفة أين أخطأ، وغير قادر على تصحيح مساره دون توجيه. | 
 | ممارسةفهم المسألة والمثابرة في حلها | يراجعالحل والتحقق منه | يراجعالحل والتحقق منه | يفسرالناتج | -يعبر عن فهم الناتج بكتابة المميز بعد الجواب | -يعبر عن فهم الناتج بكتابة المميز بعد الجواب | يربط الناتج النهائي بسياق المسألة الأصلي ويعبر عنه بتمييز صحيح (مثل35 ديناراً) وبوعي تام بمفرده. | يكتب الناتج كعدّد مجرد، ويحتاج لتوجيه ليربطه بسياق المسألة أو يكتب تمييزاً غير دقيق. | يكتب عددا نهائياً دون أي فهم لما يمثله هذا العدد في الواقع أو ضوء المسألة المطروحة | 
 | ممارسةالدقة الرياضية | تنظيم خطوات الحل الرياضي | تنظيم خطوات الحل الرياضي | يجريالطرح ضمن العدد  / 99 | -يجد ناتج الطرح ضمن 99 بشكل صحيح دون استلاف ومع استلاف. | -يجد ناتج الطرح ضمن 99 بشكل صحيح دون استلاف ومع استلاف. | يجد ناتج طرح عددين ضمن العدد 99 (ذهنياً أو كتابياً) دون ومع استلاف بشكل صحيح ودقيق، وسريع دون أخطاء وبعدة صور افقيا وعموديا وبمفرده. | يحل مسائل الطرح ضمن 99 بشكل صحيح، دون ومع استلاف ولكنه يحتاج لوقت أطول أو يوظف أصابعه في الحل. | يواجه صعوبة في إيجاد ناتج الطرح ضمن العدد 99 دون ومع استلاف، ويحتاج لاستخدام المحسوسات دائما. | الانتباه والدقة ، المسؤولية، النظام والانضباط، المثابرة، التعاون
 | ممارسةالدقة الرياضية | تنظيم خطوات الحل الرياضي | تنظيم خطوات الحل الرياضي | يجريالطرح ضمن العدد  / 999 | -يجد ناتج الطرح ضمن 999 بشكل صحيح دون استلاف ومع استلاف. | -يجد ناتج الطرح ضمن 999 بشكل صحيح دون استلاف ومع استلاف. | يجد ناتج طرح عددين ضمن العدد 999 (ذهنياً أو كتابياً) دون ومع استلاف بشكل صحيح ودقيق، وسريع دون أخطاء وبعدة صور افقيا وعموديا وبمفرده. | يحل مسائل الطرح ضمن 999 بشكل صحيح، دون ومع استلاف ولكنه يحتاج لوقت أطول أو يوظف أصابعه في الحل. | يواجه صعوبة في إيجاد ناتج الطرح ضمن العدد 999 دون ومع استلاف، ويحتاج لاستخدام المحسوسات دائما. | 
 | ممارسةالدقة الرياضية | تنظيم خطوات الحل الرياضي | تنظيم خطوات الحل الرياضي | يكتبالحل بصورة منظمة | -يكتب حل مسألة الطرح بصورة منظمة | -يكتب حل مسألة الطرح بصورة منظمة | يكتب خطوات الحل والمسائل الحسابية (سواء الأفقية أو العمودية) بخط واضح، مرتب، والخانات بدقة وبمفرده تماماً | يكتب الحل بشكل صحيح، ولكنه يفتقد للتنظيم البصري أحياناً (مثل تداخل الأرقام بين خانتي الآحاد والعشرات). | يكتب أعداد المسألة عشوائياً بالحل وبشكل مبعثر يصعب قراءته أو تتبع خطواته. | 
الضرب | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى العمليات العددية | يفسرالضرب بوصفه جمع متكرر | يفسرالضرب بوصفه جمع متكرر | يفسرالضرب كعملية جمعمتكرر . | يفسر بسلاسة وبشكل صحيح بين مجموعات متساوية من الأشياء، وجملة الجمع المتكرر، وجملة الضرب المقابلة لها (مثال: يرى 3 مجموعات في كل منها 2، فيكتب 2+2+2=6 / ويعبر عنها / بـ 3×2 = 6 / ويشرح العلاقة بينهما بمفرداته الخاصة. | يفسر جملة الجمع المتكرر بشكل صحيح ويمثلها بالرسم أو المحسوسات، لكنه يواجه صعوبة أو يقع في أخطاء أحياناً عند تحويلها إلى جملة ضرب (مثل خلط عدد المجموعات بالعدد داخل المجموعة)، ويحتاج إلى توجيه بسيط لتصحيحها. | يفسر جملة الجمع المتكرر ويمثلهابالرسم أو المحسوسات، لكنه يواجه صعوبة أو يقع في أخطاء عند تحويلها إلى جملة ضرب ، ويحتاج إلى توجيهوبسيط دعم مباشر ومستمر من المعلم. | الوعي،الدقة،تحمل المسؤولية، اتخاذ القرار المناسب، حب التحدي الشريف،المرونة
الضرب | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين التمثيلات المختلفة | يمثل الضرب بالمحسوسات | يمثل الضرب بالمحسوسات | يمثل الضرب حتى 5×5 بالمحسوس وشبه المحسوس | يمثل الضرب حتى 5×5 بالمحسوسات وبالرسومات بدقة وسرعة. | يمثل الضرب حتى 5×5 بالمحسوسات والرسوماتبدقة . | يمثل الضرب حتى 5×5 999 بالمحسوسات الملموسة فقطوبمساعدة. | حب الاستكشاف، الاعتماد على الذات، الدقة والتنظيم، حب الاستكشاف
الضرب | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين التمثيلات المختلفة | يربط بين التمثيل الرمزي والمحسوس | يربط بين التمثيل الرمزي والمحسوس | يربط بين التمثيل الرمزي والمحسوس. | يربط بمرونة ودقة فائقة بين التمثيلات الرمزية والمحسوسة والبصرية لعمليات الضرب حتى 5×5 | يربط بمرونة بين التمثيلات الرمزية والمحسوسة والبصرية لعمليات الضرب حتى 5×5 بتوجيه من المعلم. | يربط بين التمثيلات الرمزية والمحسوسة والبصرية لعمليات الضرب حتى 5×5 بوجود مساعدة وتوجيه مستمر. | 
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يمثل الضرب كمجموع متكرر | يمثل الضرب كمجموع متكرر | يمثل جملة ضرب حتى 5×5 بالجمع المتكرر والعكس | يمثل ويحوّل بطلاقة وبدون أخطاء بين جمل الجمع المتكرر وجمل الضرب (العكس صحيح). / ويحدد بدقة وبشكل مستقل دلالة كل رقم في جملة الضرب (عدد المجموعات ×عدد العناصر في كل مجموعة( ويشرح بوضوح كيف أن الضرب هو اختصار لعملية الجمع المتكرر. | يمثل ويكتب جملة الجمع المتكرر بشكل صحيح للمجموعات المتساوية. ويحول الجمع المتكرر إلى جملة ضرب ولكنه قد يخطئ أحياناً في الترتيب (مثل خلط 5×3، 3×5) / ويربط بين المجموعات المتساوية والجمع المتكرر بشكل صحيح عند استخدام الرسومات التوضيحية. | يمثل ويكتب جملة الجمع المتكرر أو الضرب بشكل غير صحيح أو يخلط بين عدد المجموعات وعدد العناصر. ويحتاج إلى دعم وتوجيه مستمر ومحسوسات (أدوات محسوسة) لتمثيل المسألة. | التنظيم والدقة،حب الاستكشاف، الصبر والمثابرة، الاستمتاع بالاكتشاف، الاستقلالية في التفكير
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يستخدم المجموعات المتساوية | يستخدم المجموعات المتساوية | يمثل الضرب كمجموعات متساوية. | يمثل الضرب بتوزيع العناصر على مجموعات متساوية بدقة، ويربطها مباشرة بجملة الضرب الصحيحة. | يمثل الضرب بتكوين مجموعات متساوية، لكنه يواجه صعوبة في تحويلها إلى جملة ضرب دون توجيه. | يمثل الضرب بتوزيع العناصر بشكل عشوائي وغير متساوٍ، ولا يربطها بمفهوم الضرب. | 
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | تحليل الأنماط المرتبطة بالضرب | يكتشف الأنماط في جداول الضرب | يكتشف الأنماط في جداول الضرب | يكتشف النمط في جدول الضرب | يكتشف الأنماط العددية في جداول الضرب بسرعة ودقة وبذكاء (مثل: نواتج جدول العدد 2 أعداد زوجية، وآحاد جدول العدد 5 هو 0 أو 5) ويستخدمها للتنبؤ بالنواتج. | يكتشف النمط بعد الإشارة إليه، لكنه لا يعتمد عليه بشكل مستقل لتذكر نواتج الضرب. | يرى نواتج الضرب كأرقام منفصلة، ولا يستطيع رؤية أو استخراج أي نمط عددي بينها. | حب الاستكشاف،التفكير الناقد، التنظيم
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | تحليل الأنماط المرتبطة بالضرب | يحل جمل مفتوحة على الضرب حتى 5×5 | يحل جمل مفتوحة على الضرب حتى 5×5 | يحل جمل مفتوحة على الضرب حتى 5×5 | يحل الجمل المفتوحة على الضرب حتى 5×5 بإيجاد العدد المفقود (سواء كان المربع الفارغ في الأول أو الوسط) بشكل صحيح وسريع، مستخدماً مهارات عقلية كالعد القفزي أو الجمع المتكرر | يحل الجمل المفتوحة على الضرب حتى 5×5 بشكل صحيح عندما يكون المربع الفارغ في وسط الجملة، ولكنه يتردد أو يخطئ عندما يكون في البداية، أو يحتاج لتذكيره بالخطوات واستخدام المحسوسات. | يحل الجمل المفتوحة على الضرب حتى 5×5 عشوائياً دون إدراك للمطلوب. | 
